School Name,SAT Average Overall,% Male Students Completed within 2yrs,% Male Students Completed within 3yrs,% Male Students Completed within 4yrs,% Male Students Completed within 6yrs,% Male Students Completed within 8yrs,% Male Students Withdrawn by 2yrs,% Male Students Withdrawn by 3yrs,% Male Students Withdrawn by 4yrs,% Male Students Withdrawn by 6yrs,% Male Students Withdrawn by 8yrs,% Female Students Completed within 2yrs,% Female Students Completed within 3yrs,% Female Students Completed within 4yrs,% Female Students Completed within 6yrs,% Female Students Completed within 8yrs,% Female Students Withdrawn by 2yrs,% Female Students Withdrawn by 3yrs,% Female Students Withdrawn by 4yrs,% Female Students Withdrawn by 6yrs,% Female Students Withdrawn by 8yrs,School_Id,School Latitude,School Longitude
Thiel College,1067.0,0.0,29.03,37.41,40.25,39.29,33.33,26.88,20.41,18.87,19.64,0.0,40.18,52.63,57.52,47.29,12.2,19.64,15.79,13.07,14.78,21635700,4141.35,-8038.44
Thomas Jefferson University,1235.0,16.08,27.31,56.46,40.61,66.67,45.49,36.53,19.19,34.13,8.33,32.75,45.57,69.08,46.6,76.66,27.06,27.05,13.16,24.85,4.11,21636600,3994.83,-7515.83
Ursinus College,1298.0,0.0,59.56,60.0,70.91,72.22,0.0,16.91,11.61,0.0,0.0,0.0,68.35,69.19,83.95,76.92,0.0,8.23,5.81,0.0,0.0,21652400,4019.3,-7545.65
Villanova University,1437.0,7.29,80.38,83.33,84.42,62.89,0.0,3.55,6.39,3.03,19.56,14.41,81.61,88.01,81.63,59.83,0.0,2.45,3.28,3.53,17.95,21659700,4003.94,-7534.55
Washington & Jefferson College,1192.0,0.0,66.3,75.15,72.22,67.07,9.66,8.84,0.0,0.0,0.0,0.0,69.44,76.79,74.81,74.56,7.33,7.22,0.0,0.0,0.0,21666700,4017.06,-8024.05
West Chester University of Pennsylvania,1165.0,1.28,3.07,6.67,35.8,54.17,23.63,44.73,56.75,37.86,21.34,2.1,4.24,10.43,51.1,64.04,15.42,46.34,49.88,23.59,12.45,21676400,3995.34,-7559.81
Widener University,1178.0,7.06,53.68,63.23,57.77,46.65,13.24,13.8,11.42,10.44,11.08,16.04,58.79,66.37,66.67,60.25,6.88,5.02,7.16,5.99,5.99,21685200,3986.17,-7535.54
Wilkes University,1150.0,7.96,35.79,56.33,60.34,60.2,17.65,14.74,14.76,12.18,9.87,13.52,42.17,56.69,62.87,56.98,12.26,11.57,8.92,5.26,8.38,21693100,4124.42,-7589.03
Wilson College,1080.0,0.0,41.03,43.75,0.0,0.0,26.32,0.0,0.0,0.0,0.0,0.0,36.6,52.29,0.0,0.0,16.95,0.0,0.0,0.0,0.0,21701300,3994.97,-7765.07
York College of Pennsylvania,1130.0,4.69,36.28,57.21,56.86,49.91,21.65,14.88,12.29,13.73,14.74,7.72,47.14,63.87,60.25,58.86,11.95,9.73,8.59,10.88,7.24,21705900,3994.61,-7672.8
Brown University,1517.0,5.15,83.44,90.44,91.54,88.85,0.0,0.0,0.0,0.0,5.25,3.64,83.99,91.33,94.89,89.58,0.0,0.0,0.0,0.0,5.65,21715600,4182.62,-7140.38
Bryant University,1222.0,6.04,80.69,83.84,82.49,75.82,0.0,0.0,0.0,0.0,0.0,8.91,83.1,86.96,84.39,78.42,0.0,0.0,0.0,0.0,0.0,21716500,4192.01,-7153.95
New England Institute of Technology,1053.0,29.47,35.54,38.97,45.73,45.96,37.71,44.88,44.24,37.41,35.1,42.2,53.66,52.27,57.85,62.3,26.59,26.39,26.57,20.25,17.38,21730500,4166.18,-7150.29
Providence College,1246.0,5.61,69.97,78.63,86.86,74.48,0.0,11.76,0.0,4.17,8.74,6.8,66.84,86.1,88.43,78.59,0.0,15.4,0.0,3.13,2.82,21740200,4184.27,-7143.74
University of Rhode Island,1200.0,8.26,46.54,61.81,64.93,65.31,10.84,12.68,11.76,11.12,9.42,13.06,55.04,68.12,71.5,67.3,6.94,6.75,6.62,6.49,6.08,21748400,4148.47,-7152.74
Rhode Island School of Design,1399.0,0.0,72.6,78.21,84.93,81.91,0.0,0.0,0.0,0.0,0.0,0.0,72.37,85.23,91.89,88.1,0.0,0.0,0.0,0.0,0.0,21749300,4182.59,-7140.77
Charleston Southern University,1082.0,12.14,21.56,40.5,37.1,34.12,17.57,27.19,22.75,21.45,21.07,11.13,30.67,44.53,44.72,34.54,17.38,16.33,13.04,10.57,12.24,21768800,3298.3,-8007.26
Southern Wesleyan University,1079.0,18.25,39.71,50.0,45.28,39.1,26.28,18.38,22.0,25.16,26.32,15.02,47.5,49.49,47.33,40.84,21.13,17.86,18.18,23.05,22.9,21777600,3472.81,-8276.16
College of Charleston,1211.0,12.5,45.22,54.76,55.33,60.58,13.98,16.96,14.12,14.79,13.48,12.0,51.05,64.04,64.0,64.55,8.0,9.1,8.27,8.35,6.92,21781900,3278.42,-7993.98
Clemson University,1339.0,14.77,48.18,65.17,70.76,74.03,11.1,10.54,11.38,11.37,8.89,19.99,68.09,79.39,80.24,77.92,6.8,5.75,4.32,4.53,4.47,21788200,3467.94,-8283.51
Coker University,1050.0,12.77,31.61,37.5,40.35,45.0,29.79,14.84,19.64,20.47,16.43,19.08,44.39,44.95,49.34,43.64,19.65,16.33,19.72,15.42,19.07,21790700,3437.7,-8007.04
Columbia International University,1049.0,13.19,50.82,52.38,53.95,62.86,28.57,19.67,19.05,0.0,0.0,20.0,60.0,64.56,58.06,64.71,21.0,18.46,13.92,0.0,0.0,21792500,3407.55,-8107.44
Erskine College,1041.0,0.0,27.45,26.79,40.0,48.68,17.95,0.0,0.0,0.0,0.0,0.0,49.02,46.48,62.77,48.33,13.16,0.0,0.0,0.0,0.0,21799800,3433.21,-8239.1
Francis Marion University,1011.0,9.54,21.63,31.33,39.0,37.61,21.2,26.53,23.49,19.69,14.93,8.03,24.68,38.21,45.39,42.26,14.88,15.92,16.33,10.1,9.21,21806100,3418.98,-7965.29
Furman University,1375.0,0.0,67.19,64.71,72.73,74.51,0.0,0.0,6.54,0.0,0.0,0.0,78.48,71.1,83.61,71.7,0.0,0.0,8.67,0.0,0.0,21807000,3492.47,-8244.05
Lander University,1057.0,9.17,30.77,43.81,40.37,37.77,27.5,21.27,17.53,21.1,12.88,6.62,32.09,44.33,46.99,43.23,16.55,11.38,13.36,7.38,5.6,21822900,3419.99,-8216.47
Newberry College,1027.0,8.43,31.05,40.78,42.48,45.66,17.62,17.37,18.44,17.65,16.76,14.74,42.01,59.12,51.92,56.94,7.05,7.69,8.03,8.33,9.03,21841400,3428.59,-8161.98
North Greenville University,1097.0,8.63,32.08,46.52,55.67,45.79,24.1,24.57,25.0,15.6,15.02,11.99,54.05,54.44,57.2,53.21,14.98,12.36,12.22,13.14,10.94,21844100,3506.98,-8237.03
Presbyterian College,1123.0,0.0,41.94,47.27,58.16,46.02,0.0,0.0,0.0,0.0,0.0,0.0,62.18,62.0,62.83,75.5,0.0,0.0,0.0,0.0,0.0,21853900,3446.58,-8187.45
University of South Carolina Aiken,1051.0,11.24,25.81,33.77,34.02,35.42,27.91,24.52,24.26,23.02,20.3,11.41,31.53,41.18,44.3,46.56,18.36,14.5,15.33,13.42,11.59,21864500,3357.27,-8176.76
University of South Carolina-Columbia,1286.0,13.16,52.6,66.57,66.29,61.24,13.02,12.5,12.25,11.73,11.55,17.27,64.67,74.97,73.37,69.48,7.49,7.42,6.29,6.08,6.87,21866300,3399.68,-8102.69
Coastal Carolina University,1118.0,9.66,28.88,44.12,47.26,45.24,19.57,22.25,19.77,19.38,12.35,14.43,38.92,49.04,50.7,49.25,13.82,14.38,12.81,9.27,8.57,21872400,3379.5,-7901.18
South Carolina State University,937.0,4.03,14.43,23.89,28.1,31.81,42.47,38.56,40.13,34.43,26.48,6.32,23.51,28.96,45.45,38.18,28.85,27.91,28.28,17.11,10.14,21873300,3349.8,-8084.87
University of South Carolina-Upstate,1065.0,21.15,35.9,43.8,45.95,44.8,24.53,20.91,22.56,22.6,18.2,26.8,47.11,54.74,52.0,52.88,13.75,14.47,13.28,12.12,10.83,21874200,3499.64,-8197.06
Winthrop University,1114.0,12.4,35.45,48.3,56.22,52.23,18.73,19.58,21.36,17.88,18.11,11.53,49.94,57.75,62.01,58.04,12.24,13.53,13.25,10.87,7.73,21896400,3494.15,-8103.14
Wofford College,1310.0,0.0,75.41,69.53,82.79,73.02,0.0,0.0,0.0,0.0,0.0,0.0,72.34,83.94,82.76,78.63,0.0,0.0,0.0,0.0,0.0,21897300,3495.94,-8193.36
Augustana University,1215.0,0.0,50.39,62.0,68.64,61.07,7.94,0.0,12.0,0.0,10.74,0.0,63.72,71.79,70.0,71.43,6.77,0.0,8.72,0.0,6.12,21900000,4352.51,-9673.7
Black Hills State University,1065.0,4.43,18.21,20.94,31.36,28.65,36.16,36.09,39.06,33.43,31.56,10.26,24.91,33.76,32.55,31.32,24.75,26.01,26.79,26.62,23.33,21904600,4449.49,-10387.1
Dakota State University,1133.0,9.49,22.31,32.56,32.37,28.67,28.46,31.13,32.04,32.37,32.33,9.29,24.88,35.93,38.72,41.2,20.8,25.82,25.11,23.4,17.2,21908200,4401.3,-9711.34
Dakota Wesleyan University,1113.0,0.0,32.14,44.86,43.88,42.37,16.51,13.39,19.63,0.0,16.95,0.0,56.34,57.25,63.96,59.56,7.95,9.86,7.97,0.0,9.56,21909100,4369.74,-9803.12
Mount Marty University,1098.0,0.0,25.0,54.17,49.18,45.95,0.0,17.86,0.0,0.0,20.27,0.0,47.12,51.43,52.43,53.24,0.0,17.31,0.0,0.0,15.83,21919800,4287.45,-9740.99
Northern State University,1086.0,5.75,23.61,33.96,31.72,43.53,27.59,27.78,35.22,34.8,28.02,11.89,36.07,27.8,33.45,32.75,26.43,27.87,36.77,33.45,25.7,21925900,4545.08,-9848.47
Presentation College,1019.0,0.0,26.32,34.69,30.88,27.08,17.44,21.93,17.35,18.63,27.08,0.0,44.39,39.38,52.55,55.49,6.32,12.15,12.95,6.97,12.14,21929500,4548.33,-9849.13
South Dakota School of Mines and Technology,1266.0,0.0,19.7,35.54,41.87,46.5,17.45,20.61,20.78,22.73,19.76,0.0,22.83,41.24,42.86,45.92,18.45,20.65,20.62,18.75,11.22,21934700,4407.54,-10320.58
South Dakota State University,1119.0,6.83,28.74,41.51,41.69,45.48,20.58,23.44,25.8,28.63,24.09,10.26,33.56,47.52,45.2,52.09,12.92,14.26,17.52,18.46,10.73,21935600,4431.75,-9678.21
University of South Dakota,1122.0,9.44,29.49,40.14,40.13,45.92,26.14,27.4,28.32,30.02,21.16,14.61,38.54,46.86,46.47,48.55,17.72,18.05,17.89,16.67,12.98,21947100,4278.6,-9692.53
Austin Peay State University,1085.0,10.85,21.74,25.65,28.35,30.46,38.76,40.7,39.01,39.39,31.42,16.14,29.09,36.07,40.25,36.54,27.01,26.45,26.53,20.5,21.1,21960200,3653.33,-8735.41
Baptist Health Sciences University,1120.0,0.0,44.44,0.0,53.12,52.94,0.0,0.0,0.0,0.0,0.0,0.0,40.93,0.0,57.68,57.68,0.0,0.0,0.0,0.0,0.0,21963900,3513.84,-9002.75
Belmont University,1272.0,7.93,25.34,60.5,65.17,66.15,23.8,42.86,14.85,12.92,10.34,9.65,27.69,67.24,71.01,69.22,14.47,41.99,9.52,6.84,6.13,21970900,3613.56,-8679.48
Carson-Newman University,1112.0,13.43,40.09,46.64,45.26,33.88,22.39,17.24,15.25,18.1,15.29,17.32,50.47,55.48,56.68,57.02,14.96,15.36,15.19,12.64,8.77,21980600,3612.29,-8349.17
Christian Brothers University,1108.0,0.0,37.59,45.52,55.56,47.59,22.15,26.24,22.07,15.08,14.48,0.0,38.74,54.14,60.28,47.34,21.74,21.47,14.92,12.77,7.98,21983300,3512.74,-8998.32
Lipscomb University,1224.0,19.83,42.02,54.18,61.67,54.61,13.64,18.68,17.82,11.45,9.96,20.0,51.59,65.2,69.66,60.53,10.79,10.45,11.89,5.98,7.75,21997600,3610.63,-8679.98
East Tennessee State University,1135.0,13.76,32.94,42.69,43.18,41.3,28.48,28.42,30.18,28.5,25.42,20.2,43.57,54.3,54.6,48.43,20.26,17.45,17.33,18.63,17.06,22007500,3630.16,-8236.7
Fisk University,1167.0,0.0,0.0,27.87,28.07,0.0,0.0,30.3,26.23,35.09,0.0,0.0,0.0,34.21,38.64,0.0,0.0,40.78,25.0,21.21,0.0,22018100,3616.71,-8680.48
Freed-Hardeman University,1180.0,0.0,37.69,41.41,51.3,45.0,17.29,23.85,26.56,17.53,16.88,0.0,51.26,51.06,54.36,50.83,13.85,17.09,16.49,10.77,9.92,22021500,3544.06,-8863.8
John A Gupton College,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22046400,3615.66,-8679.48
Johnson University,1098.0,9.15,37.41,35.09,28.4,31.58,26.14,24.46,33.92,30.77,28.95,12.98,45.22,42.06,31.87,38.41,22.14,13.91,26.19,30.63,20.12,22047300,3593.72,-8375.03
King University,1084.0,31.08,45.95,50.48,39.01,41.67,18.47,22.78,20.32,25.39,25.88,43.0,51.99,54.37,40.28,51.82,14.5,15.34,16.83,19.58,18.64,22051600,3658.53,-8215.94
Le Moyne-Owen College,876.0,0.0,0.0,0.0,0.0,0.0,58.62,55.08,62.5,58.99,48.45,0.0,0.0,0.0,0.0,0.0,38.61,42.24,41.38,41.92,27.97,22060400,3511.86,-9003.41
Lee University,1169.0,8.67,28.06,38.44,43.36,35.96,27.87,28.3,33.18,31.0,26.11,10.81,44.48,54.68,56.25,51.64,15.26,17.92,16.26,13.75,13.13,22061300,3516.6,-8487.14
Lincoln Memorial University,1102.0,27.17,33.92,47.24,50.82,57.5,17.92,24.56,14.17,10.66,13.75,34.86,53.51,52.85,56.37,60.25,14.48,14.47,14.64,12.5,12.34,22063100,3657.85,-8366.02
The University of Tennessee Southern,1058.0,9.82,16.83,23.48,35.93,20.12,22.32,26.73,40.15,27.54,39.02,11.49,28.0,35.94,33.86,28.5,22.99,29.0,29.17,29.48,30.43,22070100,3520.1,-8703.57
Maryville College,1187.0,6.17,26.54,32.07,41.86,46.85,23.46,24.69,28.26,15.7,11.89,10.47,42.13,46.6,60.0,57.59,15.7,17.42,17.28,15.68,8.23,22071000,3575.15,-8396.42
Middle Tennessee State University,1133.0,17.22,34.73,48.42,44.48,45.13,27.29,30.54,28.45,31.15,27.41,18.75,39.72,51.62,54.5,52.27,21.73,19.39,19.07,18.96,17.24,22097800,3584.8,-8636.06
Rhodes College,1388.0,0.0,72.73,75.76,76.38,76.15,0.0,0.0,0.0,0.0,0.0,0.0,80.0,81.33,81.76,79.43,0.0,0.0,0.0,0.0,0.0,22135100,3515.44,-8999.08
The University of the South,1318.0,0.0,64.29,73.81,70.31,72.45,0.0,0.0,0.0,0.0,0.0,0.0,77.27,82.58,74.04,71.07,0.0,0.0,0.0,0.0,0.0,22151900,3520.47,-8592.02
Tennessee Wesleyan University,1064.0,0.0,8.7,12.9,24.06,41.54,33.65,44.35,35.48,33.83,24.62,0.0,12.29,13.27,39.66,54.14,29.44,41.34,41.84,20.26,12.71,22173100,3544.63,-8459.27
The University of Tennessee-Chattanooga,1149.0,15.09,29.98,40.7,45.73,46.91,23.96,25.25,26.01,23.84,14.58,11.9,39.11,48.17,50.85,48.32,15.53,15.86,13.83,12.71,10.96,22174000,3504.75,-8530.02
The University of Tennessee-Knoxville,1303.0,9.73,39.39,55.94,62.22,60.19,15.06,15.48,15.71,13.04,11.63,11.81,49.35,65.1,66.83,66.9,9.32,9.6,8.62,8.11,6.77,22175900,3595.21,-8392.59
The University of Tennessee-Martin,1119.0,11.97,32.56,40.7,43.08,42.45,28.8,26.78,30.62,27.26,24.22,13.85,37.42,45.8,49.89,50.36,22.7,19.63,20.33,18.25,14.71,22176800,3634.03,-8886.42
Tusculum University,1092.0,12.5,29.28,38.96,32.97,41.95,33.04,27.38,24.68,22.16,21.19,23.81,42.44,55.28,53.71,57.78,23.41,21.43,19.92,17.14,13.77,22195300,3617.24,-8276.08
Union University,1259.0,21.43,42.34,58.29,61.14,57.74,15.58,16.79,15.43,18.65,16.32,31.61,48.52,58.67,65.12,67.53,12.18,10.24,12.0,10.0,6.82,22197100,3567.69,-8885.85
Vanderbilt University,1534.0,15.92,77.22,85.1,92.23,85.15,7.27,8.88,0.0,0.0,0.0,7.3,83.22,91.4,92.45,88.43,5.08,3.95,0.0,0.0,0.0,22199900,3614.66,-8680.34
Abilene Christian University,1186.0,6.74,38.18,46.2,46.22,40.92,14.54,13.64,15.51,16.92,14.85,9.27,46.22,54.66,56.2,53.59,9.91,8.19,10.14,9.8,10.51,22217800,3246.89,-9970.98
Angelo State University,1061.0,10.05,21.65,33.6,36.42,38.22,38.23,35.43,35.36,26.66,23.15,10.85,26.97,37.5,42.57,37.43,24.84,27.63,24.64,17.14,11.63,22283100,3144.09,-10046.51
Austin College,1237.0,9.3,55.56,55.65,64.06,58.96,0.0,10.26,8.87,0.0,0.0,10.83,67.67,64.71,71.9,70.71,0.0,7.52,13.45,0.0,0.0,22298300,3364.63,-9659.63
Baylor University,1288.0,7.85,56.77,72.34,69.67,69.17,9.2,6.65,4.4,6.04,3.5,12.53,67.99,77.82,74.69,74.25,4.76,3.54,2.92,2.89,2.25,22323200,3154.69,-9712.1
Concordia University Texas,1025.0,11.7,26.47,25.12,36.99,35.43,22.34,19.61,31.03,23.7,30.29,19.77,30.2,33.33,40.13,48.75,12.95,19.94,24.52,19.4,14.69,22400400,3042.02,-9783.57
Texas A & M University-Corpus Christi,1081.0,10.13,20.36,32.86,33.13,41.84,24.68,23.96,22.14,26.73,19.35,12.75,27.02,34.53,43.05,45.97,16.45,16.31,17.6,17.1,11.92,22414700,2771.37,-9732.4
Dallas Baptist University,1093.0,20.22,35.74,46.72,51.3,52.8,19.85,21.64,21.53,19.81,13.27,17.55,35.25,46.74,51.92,54.27,16.59,13.67,16.52,13.79,10.68,22422600,3271.0,-9694.7
University of Dallas,1271.0,0.0,59.13,62.18,56.82,58.96,0.0,13.91,15.13,0.0,0.0,0.0,60.0,66.88,69.05,61.59,0.0,10.0,9.55,0.0,0.0,22432300,3284.62,-9691.95
Texas A&M University-Texarkana,1053.0,23.08,36.63,36.68,39.29,30.41,17.44,21.29,18.09,26.79,34.5,32.81,43.86,49.85,52.5,51.84,14.96,17.23,19.27,12.5,15.01,22454500,3349.05,-9410.36
Texas A & M University-Commerce,1051.0,16.22,25.26,35.15,39.16,41.61,29.76,31.4,30.06,27.39,26.42,25.81,39.59,49.71,56.07,51.43,19.27,19.66,18.35,16.25,16.38,22455400,3324.37,-9590.85
Hardin-Simmons University,1068.0,7.87,35.68,45.5,43.43,42.86,24.54,20.54,17.54,13.13,11.34,8.98,45.11,51.85,61.11,53.1,18.36,14.47,8.33,8.97,10.18,22524700,3247.64,-9973.56
Houston Baptist University,1155.0,5.66,29.72,35.4,42.8,41.34,22.17,21.29,19.03,15.5,12.29,15.25,40.0,43.57,46.92,43.6,14.19,13.64,12.6,8.88,8.45,22539900,2969.38,-9551.6
University of Houston-Clear Lake,1071.0,25.94,40.93,51.74,64.16,63.14,17.82,16.73,16.09,14.16,16.31,29.22,45.3,58.49,71.3,68.11,12.44,13.0,12.58,10.33,12.73,22541400,2958.25,-9509.81
University of Houston,1235.0,14.42,33.78,46.65,56.0,52.12,15.97,17.29,17.73,15.13,14.09,22.93,43.96,57.9,63.75,59.16,10.8,11.25,11.5,10.7,9.28,22551100,2972.04,-9534.35
Huston-Tillotson University,918.0,0.0,0.0,0.0,0.0,0.0,32.87,41.38,58.96,55.93,51.03,0.0,0.0,0.0,0.0,0.0,25.95,33.5,44.77,41.88,30.86,22557500,3026.47,-9772.17
University of the Incarnate Word,1042.0,14.8,36.35,42.13,48.44,52.33,20.51,22.2,21.33,22.81,17.08,14.2,38.74,50.47,54.97,57.49,19.01,16.71,18.61,14.85,12.92,22562700,2946.71,-9846.58
Lamar University,1012.0,12.64,22.33,24.35,32.19,27.74,25.75,25.81,29.32,27.75,31.62,16.88,26.69,33.29,31.92,33.16,22.01,20.19,21.0,23.11,21.58,22609100,3004.27,-9407.22
Texas A & M International University,992.0,13.53,32.29,43.22,47.01,47.45,22.79,21.52,19.78,22.97,17.09,18.8,39.67,55.65,59.08,59.07,15.34,15.95,15.17,11.72,11.98,22615200,2757.12,-9943.6
LeTourneau University,1250.0,7.39,38.15,50.6,49.8,48.33,22.17,21.29,17.13,19.37,17.47,17.9,34.68,45.8,43.42,40.06,17.51,20.56,19.75,21.71,21.07,22623100,3246.63,-9472.64
Lubbock Christian University,1107.0,18.06,38.26,51.74,55.94,45.45,25.16,21.48,18.6,19.58,16.16,22.1,42.28,52.77,60.74,53.45,17.98,16.78,14.39,9.26,12.31,22638300,3357.6,-10193.44
University of Mary Hardin-Baylor,1084.0,6.83,23.49,38.81,42.35,37.9,21.31,20.78,18.7,16.47,15.74,16.7,43.21,57.14,57.95,51.41,9.88,10.54,9.36,7.07,5.84,22647100,3106.68,-9746.35
McMurry University,1147.0,0.0,19.39,21.5,21.3,21.83,26.79,18.37,19.63,28.4,23.58,0.0,32.69,50.96,56.41,55.67,12.12,17.95,17.2,7.69,12.32,22658700,3242.98,-9974.87
University of North Texas,1127.0,17.02,36.8,48.77,53.0,54.25,20.63,19.49,20.32,20.7,18.69,22.72,47.3,59.94,59.71,59.29,13.51,13.21,13.34,12.47,11.87,22721600,3321.12,-9714.84
Our Lady of the Lake University,989.0,13.29,25.23,33.11,37.82,45.95,28.67,24.32,25.83,19.87,16.22,25.63,43.59,43.87,51.57,50.0,16.99,13.55,13.8,11.52,11.36,22733100,2942.62,-9854.36
Prairie View A & M University,966.0,5.94,15.51,27.65,35.08,33.67,28.62,30.03,28.59,32.34,27.66,6.14,19.25,35.88,40.11,40.11,19.22,20.29,19.89,15.94,14.16,22752600,3009.24,-9598.95
Rice University,1534.0,6.22,73.45,91.13,90.53,82.21,0.0,0.0,0.0,0.0,0.0,6.22,81.6,89.17,89.94,91.18,0.0,0.0,0.0,0.0,0.0,22775700,2971.79,-9540.2
Sam Houston State University,1041.0,18.99,36.41,51.27,54.93,50.85,18.29,18.63,18.35,19.24,19.15,20.8,42.47,57.27,62.96,58.61,12.51,11.96,11.79,10.45,12.46,22788100,3071.47,-9554.62
Schreiner University,1073.0,10.13,39.37,39.73,43.54,46.46,18.99,12.6,15.07,19.05,10.24,22.31,47.56,47.42,51.74,56.5,15.14,19.11,10.82,11.94,9.5,22804200,3003.15,-9913.06
Southern Methodist University,1448.0,13.6,58.4,60.29,65.37,67.89,7.35,9.4,20.96,13.13,7.83,16.17,68.9,60.74,74.4,75.28,6.29,10.17,19.13,11.0,8.43,22824600,3284.36,-9678.34
Southwestern Assemblies of God University,1013.0,8.97,21.82,28.52,33.11,26.39,32.56,30.94,37.92,30.07,27.51,10.31,32.78,41.86,45.9,36.1,23.71,24.83,26.91,17.54,24.91,22832500,3240.44,-9685.35
Southwestern University,1267.0,0.0,50.88,68.85,55.68,57.29,0.0,0.0,0.0,0.0,0.0,0.0,67.28,76.62,70.9,72.5,0.0,0.0,0.0,0.0,0.0,22834300,3063.43,-9766.57
Stephen F Austin State University,1076.0,10.24,27.19,44.06,46.83,40.14,21.81,20.37,20.06,17.86,17.22,17.37,43.37,55.59,58.09,49.17,13.15,11.66,10.34,9.1,9.32,22843100,3162.11,-9464.91
Texas State University,1088.0,14.19,32.33,48.44,56.24,55.15,19.86,20.37,19.44,18.7,18.91,15.34,40.77,55.74,62.35,61.33,12.85,12.06,11.79,10.75,11.35,22845900,2988.89,-9794.3
Southwestern Adventist University,1031.0,0.0,19.1,28.26,37.0,31.87,21.74,31.46,19.57,22.0,21.98,0.0,39.81,45.11,49.65,38.89,17.12,11.11,17.29,14.69,13.19,22846800,3239.76,-9732.7
Sul Ross State University,941.0,14.0,14.87,18.94,12.76,12.78,38.0,41.46,38.54,46.9,37.78,16.38,28.61,22.96,14.24,13.6,22.13,17.63,27.04,34.72,43.06,22850100,3036.31,-10365.15
Tarleton State University,1050.0,19.89,34.93,50.38,45.53,41.92,22.8,22.05,18.84,18.87,23.38,22.96,40.1,52.65,49.79,47.97,14.56,13.41,13.24,10.3,12.37,22852900,3221.5,-9821.49
Texas A & M University-Kingsville,1006.0,10.5,23.2,25.04,35.78,35.78,27.69,28.9,13.54,23.78,25.32,18.62,38.49,23.66,42.57,49.11,18.22,16.98,8.59,14.6,15.95,22870500,2752.52,-9788.24
Texas A & M University-College Station,1275.0,14.36,49.65,72.23,76.27,73.8,9.29,7.83,7.53,7.22,7.8,21.27,64.84,80.36,82.7,81.87,5.38,4.83,4.88,3.98,3.36,22872300,3061.87,-9633.65
The University of Texas at Arlington,1115.0,18.86,34.36,45.84,51.49,50.42,19.54,18.63,17.48,15.67,15.33,26.9,41.55,51.38,56.7,53.84,13.18,12.07,11.35,9.88,9.99,22876900,3272.97,-9711.3
The University of Texas at Austin,1371.0,14.75,57.84,72.91,76.37,76.43,7.6,9.23,10.11,8.94,8.04,15.87,67.11,79.79,84.07,81.28,4.98,5.02,7.31,5.13,4.23,22877800,3028.28,-9773.83
The University of Texas at Tyler,1136.0,30.13,42.16,48.53,47.03,48.57,13.88,17.93,15.34,18.68,18.93,34.44,48.32,56.5,56.97,56.21,9.04,11.41,11.43,11.55,11.11,22880200,3231.58,-9525.43
Texas Christian University,1291.0,13.09,54.42,70.79,77.46,73.18,9.93,9.52,6.61,5.7,5.36,14.33,66.99,81.31,82.61,80.08,3.96,3.07,2.82,2.02,2.52,22887500,3270.96,-9736.48
The University of Texas Permian Basin,1034.0,10.46,15.0,16.59,27.27,33.77,29.34,33.0,41.59,35.48,27.15,10.8,15.9,22.34,34.35,45.14,25.04,32.57,37.03,26.84,21.66,22901800,3188.95,-10232.96
The University of Texas at San Antonio,1119.0,12.82,33.14,48.31,51.46,44.72,16.69,16.47,16.41,16.17,15.96,15.47,38.75,51.9,55.67,51.58,12.53,11.13,10.13,9.94,9.06,22902700,2958.37,-9862.07
Texas Southern University,919.0,5.69,11.48,19.28,26.29,23.52,41.28,38.83,31.18,28.86,28.91,5.84,15.6,22.86,28.29,28.67,30.05,27.18,24.29,19.39,16.59,22906300,2972.1,-9536.11
Texas Tech University,1209.0,12.03,33.48,50.97,56.11,57.93,16.87,15.01,14.14,14.17,13.62,18.35,45.78,59.79,64.27,62.67,12.69,9.42,8.09,8.27,7.64,22911500,3358.34,-10187.48
Texas Wesleyan University,1012.0,14.66,26.15,39.35,34.36,33.51,22.93,21.54,23.23,23.31,23.78,30.38,41.47,49.06,53.28,47.81,15.02,12.71,13.12,13.5,14.6,22916000,3273.3,-9727.96
Texas Woman's University,1060.0,21.79,35.98,42.2,53.04,49.59,19.84,19.16,23.76,16.19,18.7,23.35,37.75,51.32,58.63,54.19,16.42,14.84,13.23,12.27,9.25,22917900,3322.62,-9712.78
Trinity University,1392.0,0.0,56.05,76.6,63.79,76.55,0.0,10.83,0.0,0.0,0.0,0.0,71.28,82.39,81.62,82.51,0.0,7.45,0.0,0.0,0.0,22926700,2946.27,-9848.19
West Texas A & M University,1085.0,13.12,33.6,32.59,35.9,41.41,26.66,23.37,28.87,29.18,23.08,26.64,40.86,43.9,48.24,53.31,14.04,17.56,19.48,19.02,15.11,22981400,3498.28,-10191.47
Brigham Young University,1342.0,13.37,40.15,56.81,66.58,72.62,15.64,14.4,16.61,16.21,11.38,13.99,40.95,52.46,64.34,67.45,19.28,16.67,19.23,19.78,15.97,23003800,4025.09,-11164.93
Brigham Young University-Hawaii,1185.0,0.0,0.0,14.72,41.52,44.05,51.97,64.29,46.19,28.07,16.74,0.0,0.0,15.52,35.09,34.84,48.48,55.04,44.04,25.61,23.23,23004700,2164.21,-15792.66
