School Name,SAT Average Overall,% Male Students Completed within 2yrs,% Male Students Completed within 3yrs,% Male Students Completed within 4yrs,% Male Students Completed within 6yrs,% Male Students Completed within 8yrs,% Male Students Withdrawn by 2yrs,% Male Students Withdrawn by 3yrs,% Male Students Withdrawn by 4yrs,% Male Students Withdrawn by 6yrs,% Male Students Withdrawn by 8yrs,% Female Students Completed within 2yrs,% Female Students Completed within 3yrs,% Female Students Completed within 4yrs,% Female Students Completed within 6yrs,% Female Students Completed within 8yrs,% Female Students Withdrawn by 2yrs,% Female Students Withdrawn by 3yrs,% Female Students Withdrawn by 4yrs,% Female Students Withdrawn by 6yrs,% Female Students Withdrawn by 8yrs,School_Id,School Latitude,School Longitude
Youngstown State University,1080.0,9.13,24.33,34.27,36.17,31.56,33.02,32.02,36.16,34.06,37.52,10.05,29.38,40.67,39.11,37.38,21.32,22.95,21.13,23.19,23.58,20669500,4110.49,-8064.66
Bacone College,891.0,0.0,0.0,6.49,15.41,13.0,31.25,39.13,43.89,38.03,30.96,0.0,0.0,8.94,19.87,24.47,22.41,38.06,43.9,36.42,18.09,20681700,3577.71,-9533.4
Oklahoma Wesleyan University,1022.0,7.8,28.82,32.9,43.26,38.13,34.04,25.29,23.87,15.6,21.58,29.49,43.41,57.92,66.27,58.72,18.89,18.54,17.33,10.44,8.72,20683500,3671.75,-9595.67
University of Central Oklahoma,1085.0,11.56,21.29,29.92,38.59,36.65,32.46,35.45,34.6,28.49,27.76,13.21,25.04,38.58,46.52,46.39,20.82,22.51,21.42,19.3,15.79,20694100,3565.52,-9747.15
East Central University,1034.0,13.44,22.76,33.24,31.79,31.76,34.75,38.62,34.88,37.57,29.28,21.94,35.48,42.08,45.26,44.44,23.79,24.05,23.55,23.86,18.12,20704100,3477.19,-9666.38
Randall University,977.0,0.0,0.0,21.25,40.82,0.0,41.56,47.27,33.75,0.0,0.0,0.0,0.0,37.5,46.67,0.0,35.29,30.0,20.83,0.0,0.0,20715700,3530.08,-9749.11
Northeastern State University,1048.0,17.05,28.61,36.94,39.94,39.46,30.63,30.49,30.33,30.17,30.07,25.86,36.75,47.66,48.33,47.34,19.26,19.66,18.46,20.43,19.6,20726300,3591.99,-9496.72
Northwestern Oklahoma State University,1028.0,10.75,27.57,31.88,27.11,19.19,28.97,30.81,24.64,25.78,31.0,22.58,35.58,39.65,39.57,37.05,23.66,17.63,19.3,14.75,22.89,20730600,3679.67,-9866.77
Oklahoma Christian University,1129.0,6.64,38.38,49.46,45.57,49.47,15.64,13.51,19.35,21.1,18.95,13.97,45.37,49.09,51.74,47.16,11.35,12.2,18.64,13.04,6.55,20732400,3561.14,-9746.95
Oklahoma State University-Main Campus,1166.0,13.06,37.56,51.12,55.07,54.44,18.29,18.39,18.17,18.42,15.09,13.88,42.33,58.29,59.03,56.78,13.84,11.86,11.32,11.66,11.24,20738800,3612.31,-9706.97
Oklahoma Baptist University,1111.0,6.22,26.24,43.24,38.46,41.79,21.76,19.46,22.07,16.74,19.4,8.01,39.08,53.35,51.25,48.61,10.98,12.68,14.7,11.56,8.68,20740300,3536.05,-9693.25
