School Name,% of Students receiving Federal Loan,Title 4 Cost Private,No.of programs offered,Tuition FT Enrollment in $,Enrollment,Highest degree awarded,SAT Writing Midpoint,SAT Math Midpoint,SAT Critical Reading Midpoint,SAT Average Overall,ACT Writing Midpoint, ACT Math Midpoint,ACT English Midpoint,ACT Cumulative Midpoint,Retention Rate FT,Completion Rate 4 year (White),Completion Rate 4 year (2 Or More Races),Completion Rate 4 year (Hawaian/Pacific Islander),Completion Rate 4 year (Hispanic),Completion Rate 4 year (Black),Completion Rate 4 year (Asian),Completion Rate 4 year (American Indian),General Completion Rate,id,Latitude,Longitutde
Florida SouthWestern State College,13.87,0.0,0.0,1599.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.53,41.46,100.0,42.91,34.339999999999996,55.169999999999995,50.0,38.35,133508,26.552403,-81.887102
Edward Waters University,30.880000000000003,221.0,0.0,13698.0,0,3,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.489999999999995,54.55,50.0,0.0,0.0,25.89,0.0,0.0,27.750000000000004,133526,30.34479,-81.684879
Embry-Riddle Aeronautical University-Daytona Beach,32.66,853.0,0.0,29601.0,0,4,0.0,620.0,615.0,1240.0,0.0,25.0,26.0,26.0,80.17999999999999,65.89,60.0,66.67,58.19,42.55,64.0,80.0,61.870000000000005,133553,29.189903,-81.048367
Florida Agricultural and Mechanical University,47.14,0.0,0.0,4633.0,0,4,455.0,525.0,555.0,1068.0,7.0,20.0,22.0,20.0,89.07000000000001,38.71,58.78,0.0,50.0,55.559999999999995,100.0,0.0,55.300000000000004,133650,30.428504,-84.290226
Florida Atlantic University,27.229999999999997,0.0,0.0,5808.0,0,4,510.0,545.0,565.0,1119.0,7.0,21.0,23.0,23.0,80.28,55.400000000000006,53.7,50.0,56.18,54.15,59.5,50.0,55.669999999999995,133669,26.372421,-80.102978
Florida State College at Jacksonville,18.93,0.0,0.0,2331.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.83,34.38,33.33,32.64,31.78,46.77,25.0,39.86,133702,30.334918,-81.659901
Flagler College,53.09,387.0,0.0,13140.0,0,4,525.0,525.0,560.0,1102.0,0.0,21.0,22.0,23.0,70.42,58.79,60.0,0.0,52.629999999999995,48.15,50.0,75.0,57.769999999999996,133711,29.892733,-81.314887
Florida College,58.4,106.0,0.0,20137.0,0,3,489.0,495.0,535.0,1091.0,7.0,21.0,25.0,23.0,70.91,56.00000000000001,40.0,0.0,20.0,33.33,100.0,66.67,53.98,133809,28.034936,-82.383289
Concorde Career Institute-Jacksonville,69.92,63.0,14.0,17098.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133845,30.23886,-81.581748
Concorde Career Institute-Miramar,76.38000000000001,13.0,11.0,13120.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133854,25.977088,-80.291516
