School Name,City,Carnegie Classification Undergraduate Profile,Carnegie Size Setting,Public Average Net Price,Private Average Net Price,"Avg $75,001-$110,000 (Public)","Avg $75,000+ (Public)","Avg $48,001-$75,000 (Public)","Avg $48,001-$75,000 (All)","Avg $30,001-$75,000 (Public)","Avg $30,001-$75,000 (All)","Avg $30,001-$48,000 (Public)","Avg $30,001-$48,000 (All)","Avg $110,000+ (Public)","Avg $110,000+ (All)","Avg $0-$48,000 (Public)","Avg $0-$48,000 (Private)","Avg $0-$30,000 (Public)","Avg $0-$30,000 (Private)"
North Florida College,Madison,5,6,2414.0,0.0,2646.0,2646.0,3788.0,0.0,2891.0,0.0,2378.0,0.0,0.0,0,2084.0,0.0,1878.0,0.0
University of North Florida,Jacksonville,9,15,7159.0,0.0,12567.0,12771.0,7772.0,0.0,6181.0,0.0,4827.0,0.0,12913.0,0,4211.0,0.0,3829.0,0.0
Nova Southeastern University,Fort Lauderdale,12,16,0.0,25737.0,0.0,0.0,0.0,26703.0,0.0,25545.0,0.0,24317.0,0.0,0,0.0,22630.0,0.0,21875.0
Northwest Florida State College,Niceville,5,9,6464.0,0.0,10841.0,11006.0,8300.0,0.0,6579.0,0.0,4563.0,0.0,11205.0,0,2944.0,0.0,2123.0,0.0
Orange Technical College,Orlando,-2,-2,9821.0,0.0,0.0,0.0,11227.0,0.0,10735.0,0.0,9506.0,0.0,0.0,0,9381.0,0.0,9363.0,0.0
Palm Beach Atlantic University,West Palm Beach,13,11,0.0,27597.0,0.0,0.0,0.0,26586.0,0.0,24869.0,0.0,23374.0,0.0,0,0.0,25165.0,0.0,26240.0
Palm Beach State College,Lake Worth,5,15,8999.0,0.0,14001.0,14233.0,11824.0,0.0,10230.0,0.0,9457.0,0.0,14740.0,0,8396.0,0.0,7993.0,0.0
Pasco-Hernando State College,New Port Richey,5,12,4793.0,0.0,8907.0,9143.0,6659.0,0.0,5295.0,0.0,3991.0,0.0,9395.0,0,3561.0,0.0,3403.0,0.0
Pensacola State College,Pensacola,5,12,2918.0,0.0,6728.0,7356.0,4639.0,0.0,3378.0,0.0,2430.0,0.0,7888.0,0,2007.0,0.0,1863.0,0.0
Pinellas Technical College-Clearwater,Clearwater,-2,-2,25090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25090.0,0.0,25090.0,0.0
Polk State College,Winter Haven,5,12,7994.0,0.0,7433.0,7699.0,8881.0,0.0,9234.0,0.0,9393.0,0.0,8364.0,0,7974.0,0.0,7796.0,0.0
Radford M Locklin Technical College,Milton,-2,-2,2729.0,0.0,0.0,0.0,3768.0,0.0,3901.0,0.0,3968.0,0.0,0.0,0,2555.0,0.0,1849.0,0.0
Saint Vincent de Paul Regional Seminary,Boynton Beach,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Ridge Technical College,Winter Haven,-2,-2,22744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22744.0,0.0,22744.0,0.0
Ringling College of Art and Design,Sarasota,12,11,0.0,50747.0,0.0,0.0,0.0,50149.0,0.0,46540.0,0.0,42930.0,0.0,0,0.0,42574.0,0.0,42330.0
Robert Morgan Educational Center and Technical College,Miami,-2,-2,12458.0,0.0,0.0,0.0,13398.0,0.0,12813.0,0.0,12729.0,0.0,0.0,0,12420.0,0.0,12297.0,0.0
Rollins College,Winter Park,12,11,0.0,23885.0,0.0,0.0,0.0,22329.0,0.0,19014.0,0.0,14951.0,0.0,0,0.0,14884.0,0.0,14855.0
First Coast Technical College,Saint Augustine,-2,-2,19780.0,0.0,0.0,0.0,0.0,0.0,20331.0,0.0,20331.0,0.0,0.0,0,19780.0,0.0,19715.0,0.0
Saint Leo University,Saint Leo,9,12,0.0,17321.0,0.0,0.0,0.0,17624.0,0.0,17105.0,0.0,16646.0,0.0,0,0.0,15291.0,0.0,14671.0
St Petersburg College,St. Petersburg,5,15,2212.0,0.0,9812.0,10100.0,5473.0,0.0,3436.0,0.0,2050.0,0.0,10583.0,0,709.0,0.0,181.0,0.0
