School Name,Student Count,"Standardized Test required? (1:Required, 2:Recommended, 3:Neither required nor recommended , 4:Do not know, 5: Considered but not required)",Admission Rate,4Yr Uni Completion Rates,% White Students,% Hispanic Students,% Black Students,% AIAN Students,% Female Students,% Male Students
Henderson State University,2205.0,1.0,75.01,37.2,64.53999999999999,6.529999999999999,17.549999999999997,0.27,52.739999999999995,47.260000000000005
Hendrix College,1103.0,5.0,68.30000000000001,72.89,68.89999999999999,9.43,7.5200000000000005,0.54,51.129999999999995,48.870000000000005
Hot Springs Beauty College,85.0,0.0,0.0,0.0,80.0,4.71,14.12,0.0,96.47,3.53
Jefferson Regional School of Nursing,66.0,0.0,0.0,0.0,63.63999999999999,6.0600000000000005,30.3,0.0,87.88,12.120000000000001
John Brown University,1381.0,5.0,52.87,70.39,71.47,7.6,1.52,1.59,59.809999999999995,40.19
Career Academy of Hair Design,196.0,0.0,0.0,0.0,65.31,18.88,9.69,5.609999999999999,98.98,1.02
Academy of Salon and Spa,53.0,0.0,0.0,0.0,67.92,13.209999999999999,7.55,7.55,100.0,0.0
Arkansas State University Mid-South,525.0,0.0,0.0,0.0,34.1,5.140000000000001,54.1,0.38,65.14,34.86
Arkansas Northeastern College,786.0,0.0,0.0,0.0,60.050000000000004,5.09,32.95,0.38,65.78,34.22
New Tyler Barber College Inc,33.0,0.0,0.0,0.0,0.0,3.0300000000000002,96.97,0.0,33.33,66.67
North Arkansas College,1161.0,0.0,0.0,0.0,82.0,8.01,2.41,0.09,62.019999999999996,37.980000000000004
Northwest Technical Institute,155.0,0.0,0.0,0.0,47.099999999999994,36.13,3.2300000000000004,1.29,31.61,68.39
Ouachita Baptist University,1572.0,3.0,73.75,66.75,79.64,5.7299999999999995,7.76,0.25,57.379999999999995,42.620000000000005
Arkansas State University Three Rivers,424.0,0.0,0.0,0.0,63.21,5.66,24.060000000000002,0.24,71.93,28.07
Ozarka College,627.0,0.0,0.0,0.0,95.22,1.59,1.59,0.8,75.44,24.560000000000002
University of the Ozarks,775.0,5.0,55.37,48.8,41.29,13.03,5.42,0.8999999999999999,52.65,47.349999999999994
University of Arkansas Community College-Morrilton,1586.0,2.0,100.0,0.0,72.13000000000001,11.03,8.450000000000001,0.19,62.739999999999995,37.26
Philander Smith College,709.0,0.0,0.0,28.24,0.27999999999999997,1.41,90.41,0.0,63.89,36.11
Phillips Community College of the University of Arkansas,611.0,0.0,0.0,0.0,39.77,2.9499999999999997,55.32,0.16,69.07,30.930000000000003
Southeast Arkansas College,808.0,0.0,0.0,0.0,19.43,22.03,56.68,0.25,73.50999999999999,26.490000000000002
Professional Cosmetology Education Center,37.0,0.0,0.0,0.0,56.76,2.7,37.84,0.0,100.0,0.0
University of Arkansas-Pulaski Technical College,4110.0,0.0,0.0,0.0,41.870000000000005,6.69,39.0,0.36,66.59,33.410000000000004
University of Arkansas Hope-Texarkana,760.0,0.0,0.0,0.0,54.339999999999996,10.0,32.76,0.13,75.0,25.0
University of Arkansas Community College Rich Mountain,529.0,0.0,0.0,0.0,76.37,9.64,2.8400000000000003,2.27,62.0,38.0
Paul Mitchell the School-Arkansas,118.0,0.0,0.0,0.0,80.51,12.709999999999999,3.39,3.39,98.31,1.69
Searcy Beauty College,84.0,0.0,0.0,0.0,85.71,3.5700000000000003,8.33,1.1900000000000002,98.81,1.1900000000000002
Shorter College,245.0,0.0,0.0,0.0,20.41,1.22,76.73,0.41000000000000003,69.39,30.61
Williams Baptist University,593.0,1.0,64.1,31.75,75.38,3.37,10.459999999999999,0.51,51.43,48.57
South Arkansas Community College,889.0,0.0,0.0,0.0,50.96000000000001,5.62,37.68,0.22,72.55,27.450000000000003
Southern Arkansas University Main Campus,2795.0,1.0,62.6,40.08,60.97,5.04,21.14,0.29,55.559999999999995,44.440000000000005
Southern Arkansas University Tech,725.0,0.0,0.0,0.0,47.03,4.41,42.21,0.13999999999999999,54.339999999999996,45.660000000000004
Velvatex College of Beauty Culture,15.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
University of Arkansas-Fort Smith,4188.0,0.0,0.0,26.290000000000003,60.86,15.379999999999999,3.75,2.36,60.699999999999996,39.300000000000004
Academy of Art University,5294.0,0.0,0.0,38.019999999999996,20.549999999999997,14.6,9.5,0.44999999999999996,56.57,43.43
Academy of Chinese Culture and Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
College of Alameda,3629.0,0.0,0.0,0.0,17.69,25.080000000000002,18.3,0.08,57.010000000000005,42.99
Allan Hancock College,7389.0,0.0,0.0,0.0,21.37,67.07,2.02,0.35000000000000003,55.510000000000005,44.49
American Academy of Dramatic Arts-Los Angeles,217.0,3.0,90.27,0.0,41.010000000000005,12.44,9.22,0.9199999999999999,54.84,45.16
Berkeley School of Theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Film Institute Conservatory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Beauty College,185.0,0.0,0.0,0.0,12.43,75.68,1.6199999999999999,1.08,71.35000000000001,28.65
American Career College-Los Angeles,1902.0,0.0,0.0,0.0,7.199999999999999,61.46,13.350000000000001,0.53,79.13,20.87
American Conservatory Theater,1.0,3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
American River College,22837.0,0.0,0.0,0.0,39.519999999999996,28.04,7.01,0.5700000000000001,51.88,48.120000000000005
Antelope Valley Community College District,9670.0,0.0,0.0,28.88,16.400000000000002,61.260000000000005,12.23,0.22999999999999998,58.209999999999994,41.79
Art Center College of Design,2026.0,3.0,75.56,75.86,11.600000000000001,9.08,1.43,0.05,58.34,41.660000000000004
Associated Technical College-Los Angeles,180.0,0.0,0.0,0.0,17.78,44.440000000000005,30.56,1.11,71.11,28.89
Associated Technical College-San Diego,43.0,0.0,0.0,0.0,34.88,46.51,11.63,0.0,18.6,81.39999999999999
Azusa Pacific University,3937.0,5.0,94.1,71.50999999999999,30.23,37.19,6.25,0.33,68.28,31.72
Bakersfield College,16900.0,0.0,0.0,20.61,20.02,65.4,5.09,0.3,55.779999999999994,44.22
Barstow Community College,2071.0,0.0,0.0,0.0,23.76,46.5,16.85,0.8699999999999999,69.53,30.470000000000002
Bellus Academy-Chula Vista,406.0,0.0,0.0,0.0,9.11,59.36,15.02,0.49,84.48,15.52
Bethesda University,264.0,0.0,0.0,15.25,5.680000000000001,20.080000000000002,12.120000000000001,1.1400000000000001,22.73,77.27000000000001
Biola University,3592.0,5.0,60.77,69.94,43.65,20.599999999999998,3.17,0.25,62.0,38.0
Brownson Technical School,241.0,0.0,0.0,0.0,17.43,63.9,5.81,0.0,0.41000000000000003,99.59
Bryan University,1361.0,0.0,0.0,30.470000000000002,43.28,7.71,19.689999999999998,1.91,71.05,28.95
Butte College,8579.0,0.0,0.0,0.0,50.51,31.180000000000003,2.52,1.08,56.56,43.44
California Institute of Integral Studies,84.0,0.0,0.0,0.0,52.38,13.100000000000001,10.71,0.0,80.95,19.05
Cabrillo College,8035.0,0.0,0.0,0.0,40.21,48.64,1.0699999999999998,0.13999999999999999,58.330000000000005,41.67
California Baptist University,8234.0,3.0,63.73,56.74,35.15,39.18,6.64,0.5499999999999999,63.49,36.51
California College of the Arts,1239.0,3.0,77.63,65.42,17.76,14.610000000000001,4.04,0.0,63.6,36.4
University of California-Hastings College of Law,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California Institute of Technology,987.0,1.0,3.92,92.92,22.7,22.29,2.53,0.1,44.68,55.32
California Lutheran University,2588.0,5.0,81.94,73.78,39.489999999999995,39.18,3.9,0.22999999999999998,53.28000000000001,46.72
California Polytechnic State University-San Luis Obispo,21090.0,3.0,33.0,85.39,53.02,19.439999999999998,0.69,0.12,48.72,51.28
Alliant International University-San Diego,227.0,3.0,100.0,9.09,22.03,27.310000000000002,3.9600000000000004,0.0,67.4,32.6
California State University-Bakersfield,8870.0,3.0,85.21,47.56,13.930000000000001,63.62,4.16,0.3,65.64999999999999,34.35
California State University-Stanislaus,9161.0,3.0,94.76,57.620000000000005,18.59,58.84,2.0500000000000003,0.19,67.07,32.93
California State University-San Bernardino,16595.0,3.0,90.97,56.96,10.83,68.97,4.78,0.13999999999999999,62.55,37.45
California State Polytechnic University-Pomona,26802.0,3.0,60.62,70.17999999999999,14.11,50.32,2.93,0.11,46.379999999999995,53.620000000000005
California State University-Chico,14343.0,3.0,85.47,65.36999999999999,42.93,36.55,2.77,0.43,54.510000000000005,45.49
California State University-Dominguez Hills,15214.0,3.0,89.59,52.53,5.1499999999999995,67.44,10.97,0.13,63.09,36.91
California State University-Fresno,21826.0,3.0,97.28,56.57,16.7,57.940000000000005,2.9000000000000004,0.32,60.199999999999996,39.800000000000004
California State University-Fullerton,35502.0,3.0,59.43000000000001,71.47,16.33,48.949999999999996,1.97,0.06999999999999999,58.84,41.160000000000004
California State University-East Bay,12047.0,3.0,82.36,48.44,14.89,38.34,9.29,0.12,60.150000000000006,39.85
California State University-Long Beach,33765.0,3.0,46.85,75.47,15.909999999999998,46.83,3.6799999999999997,0.09,57.730000000000004,42.27
California State University-Los Angeles,23506.0,3.0,90.53999999999999,51.9,4.390000000000001,71.99,3.73,0.11,59.38,40.62
California State University-Northridge,34436.0,3.0,88.1,54.2,20.18,53.849999999999994,4.68,0.08,54.949999999999996,45.050000000000004
California State University-Sacramento,29370.0,3.0,93.67999999999999,57.46,23.799999999999997,36.42,6.36,0.22999999999999998,57.19,42.809999999999995
University of California-Berkeley,31811.0,3.0,14.44,92.81,20.72,19.8,2.13,0.11,54.6,45.4
University of California-Davis,31637.0,3.0,48.75,86.94,21.36,23.65,1.94,0.06999999999999999,60.17,39.83
University of California-Irvine,29438.0,3.0,28.82,83.67,13.3,25.82,2.1,0.09,54.6,45.4
University of California-Los Angeles,32122.0,3.0,10.77,92.13,26.229999999999997,21.69,3.2,0.16,59.77,40.23
University of California-Riverside,22817.0,3.0,65.38000000000001,76.44999999999999,11.219999999999999,40.69,3.3099999999999996,0.1,52.99,47.010000000000005
University of California-San Diego,33339.0,3.0,34.2,89.35,18.970000000000002,21.959999999999997,1.63,0.09,51.29,48.71
University of California-San Francisco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of California-Santa Barbara,23081.0,3.0,29.18,85.38,31.86,25.41,1.77,0.1,56.169999999999995,43.830000000000005
University of California-Santa Cruz,17864.0,3.0,58.64,78.09,31.45,27.860000000000003,1.94,0.1,47.83,52.17
Sofia University,8.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,75.0,25.0
California Beauty School,63.0,0.0,0.0,0.0,25.4,52.38,0.0,4.760000000000001,100.0,0.0
California Christian College,14.0,2.0,100.0,0.0,28.57,28.57,14.29,0.0,28.57,71.43
Haven University,22.0,0.0,0.0,100.0,0.0,4.55,18.18,0.0,59.089999999999996,40.910000000000004
California Hair Design Academy,94.0,0.0,0.0,0.0,28.720000000000002,41.49,9.569999999999999,0.0,77.66,22.34
California Institute of the Arts,959.0,3.0,28.98,71.93,37.54,13.76,3.8600000000000003,0.42,58.29,41.71
California State University Maritime Academy,880.0,3.0,82.09,68.17999999999999,46.14,22.16,2.8400000000000003,0.5700000000000001,19.32,80.67999999999999
California Western School of Law,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada College,3859.0,0.0,0.0,0.0,24.33,40.06,2.15,0.1,61.53999999999999,38.46
College of the Canyons,13371.0,0.0,0.0,0.0,27.279999999999998,51.88,4.95,0.15,51.22,48.78
Career Academy of Beauty,194.0,0.0,0.0,0.0,31.96,46.39,3.09,2.58,97.42,2.58
Casa Loma College-Los Angeles,246.0,3.0,100.0,62.07,27.24,53.25,2.03,1.22,60.980000000000004,39.019999999999996
CET-San Diego,198.0,0.0,0.0,0.0,15.659999999999998,41.92,7.580000000000001,0.51,20.200000000000003,79.80000000000001
CET-San Jose,176.0,0.0,0.0,0.0,5.680000000000001,75.0,5.11,0.0,23.86,76.14
CET-El Centro,159.0,0.0,0.0,0.0,0.63,98.11,0.0,0.0,25.790000000000003,74.21
CET-Colton,135.0,0.0,0.0,0.0,13.33,71.11,10.37,0.74,14.81,85.19
CET-Watsonville,90.0,0.0,0.0,0.0,2.22,94.44,3.3300000000000005,0.0,46.67,53.33
CET-Salinas,156.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,85.9,14.099999999999998
Cerritos College,17437.0,0.0,0.0,0.0,9.31,70.12,6.35,0.31,53.269999999999996,46.73
Cerro Coso Community College,3706.0,0.0,0.0,0.0,37.18,41.199999999999996,8.309999999999999,2.32,50.51,49.49
Chabot College,10067.0,0.0,0.0,0.0,14.85,41.55,8.95,0.16,52.629999999999995,47.370000000000005
Chaffey College,15267.0,0.0,0.0,0.0,15.120000000000001,64.39,7.3,0.16999999999999998,61.82,38.18
Chapman University,7469.0,5.0,60.370000000000005,79.9,50.22,17.62,2.16,0.13,60.370000000000005,39.629999999999995
Charles R Drew University of Medicine and Science,255.0,5.0,63.29,0.0,4.71,35.69,42.75,0.7799999999999999,65.88000000000001,34.12
Concordia University-Irvine,1580.0,5.0,81.38,67.96,45.95,26.39,4.81,0.19,60.25,39.75
San Diego Christian College,438.0,5.0,52.7,47.3,37.44,30.819999999999997,9.59,1.1400000000000001,55.02,44.98
Church Divinity School of the Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citrus College,8260.0,0.0,0.0,0.0,15.040000000000001,66.03,3.32,0.25,56.879999999999995,43.120000000000005
Citrus Heights Beauty College,101.0,0.0,0.0,0.0,65.35,16.830000000000002,5.94,1.9800000000000002,98.02,1.9800000000000002
City College of San Francisco,16219.0,0.0,0.0,0.0,20.8,27.1,7.449999999999999,0.24,54.169999999999995,45.83
Claremont Graduate University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claremont McKenna College,1414.0,5.0,11.24,92.71000000000001,36.85,15.629999999999999,5.16,0.06999999999999999,50.78,49.220000000000006
Milan Institute-Visalia,430.0,0.0,0.0,0.0,13.719999999999999,79.3,1.63,1.63,94.19,5.81
Clovis Adult Education,340.0,0.0,0.0,0.0,14.41,50.29,7.06,0.88,88.82,11.18
Coastline Community College,5719.0,0.0,0.0,0.0,29.099999999999998,30.72,7.539999999999999,0.61,48.5,51.5
University of Silicon Valley,420.0,2.0,50.64999999999999,43.93,27.860000000000003,23.330000000000002,8.81,0.24,26.19,73.81
Coba Academy,132.0,0.0,0.0,0.0,11.360000000000001,67.42,10.61,0.0,81.06,18.94
Western University of Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Columbia College,1509.0,0.0,0.0,0.0,67.53,22.400000000000002,3.71,1.52,54.74,45.26
Columbia College Hollywood,493.0,0.0,0.0,45.83,40.37,11.97,18.459999999999997,1.4200000000000002,43.2,56.8
Compton College,2635.0,0.0,0.0,0.0,2.09,59.17,28.96,0.27,67.74,32.26
Contra Costa College,4429.0,0.0,0.0,0.0,11.24,45.47,14.95,0.13999999999999999,60.85,39.15
Cosumnes River College,12575.0,0.0,0.0,0.0,23.669999999999998,27.99,8.450000000000001,0.36,58.120000000000005,41.88
Crafton Hills College,4481.0,0.0,0.0,0.0,32.56,51.06,3.26,0.25,55.43,44.57
Cuesta College,6961.0,0.0,0.0,0.0,51.72,32.81,3.2199999999999998,0.4,53.76,46.239999999999995
Cuyamaca College,6473.0,0.0,0.0,0.0,43.91,32.71,3.65,0.43,57.35,42.65
Cypress College,12090.0,0.0,0.0,32.81,13.11,51.44,3.63,0.16,58.879999999999995,41.120000000000005
De Anza College,14706.0,0.0,0.0,0.0,16.64,28.560000000000002,2.71,0.15,50.6,49.4
International School of Beauty Inc,159.0,0.0,0.0,0.0,24.529999999999998,68.55,3.1399999999999997,0.0,73.58,26.419999999999998
Dell'Arte International School of Physical Theatre,13.0,0.0,0.0,0.0,69.23,0.0,0.0,0.0,76.92,23.080000000000002
College of the Desert,8634.0,0.0,0.0,0.0,15.42,74.02,2.4,0.3,59.68,40.32
Design Institute of San Diego,119.0,3.0,100.0,50.0,46.22,24.37,10.92,3.36,89.08,10.92
Diablo Valley College,15326.0,0.0,0.0,0.0,31.979999999999997,27.83,5.59,0.22,52.04,47.96
Dominican University of California,1243.0,5.0,92.93,77.38000000000001,24.54,27.189999999999998,3.8600000000000003,2.17,68.78999999999999,31.209999999999997
Dominican School of Philosophy & Theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Los Angeles College,25649.0,0.0,0.0,0.0,9.41,63.11,6.65,0.19,51.85999999999999,48.14
El Camino Community College District,16764.0,0.0,0.0,0.0,11.98,47.85,12.94,0.16999999999999998,54.37,45.629999999999995
Emperor's College of Traditional Oriental Medicine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Empire College,0.0,0.0,0.0,58.97,0.0,0.0,0.0,0.0,0.0,0.0
Evergreen Valley College,6746.0,0.0,0.0,0.0,7.489999999999999,44.72,2.34,0.22,55.989999999999995,44.01
FIDM-Fashion Institute of Design & Merchandising,1724.0,2.0,35.97,73.78,32.71,25.0,8.7,1.22,82.48,17.52
Feather River Community College District,1220.0,0.0,0.0,34.410000000000004,36.64,33.28,9.34,2.79,48.36,51.64
Federico Beauty Institute,297.0,0.0,0.0,0.0,32.66,35.02,11.110000000000001,2.02,86.2,13.8
Fielding Graduate University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Five Branches University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redondo Beach Beauty College,58.0,0.0,0.0,0.0,8.62,34.48,8.62,0.0,96.55,3.45
Foothill College,10593.0,0.0,0.0,57.63,28.860000000000003,32.07,3.45,0.22,47.55,52.449999999999996
Franciscan School of Theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fredrick and Charles Beauty College,59.0,0.0,0.0,0.0,55.93,13.56,1.69,18.64,88.14,11.86
Fresno City College,15554.0,0.0,0.0,0.0,18.81,59.47,5.029999999999999,0.5499999999999999,60.77,39.23
Fresno Pacific University,2668.0,5.0,77.86,67.67999999999999,25.490000000000002,58.58,4.72,0.97,72.78999999999999,27.21
Fuller Theological Seminary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fullerton College,16287.0,0.0,0.0,0.0,16.34,59.24,2.98,0.16999999999999998,54.35,45.65
Gavilan College,3744.0,0.0,0.0,0.0,24.39,61.809999999999995,2.35,0.21,54.010000000000005,45.989999999999995
Gemological Institute of America-Carlsbad,104.0,0.0,0.0,0.0,53.849999999999994,15.379999999999999,1.92,0.0,54.81,45.190000000000005
Glendale Community College,10107.0,0.0,0.0,0.0,52.56999999999999,28.58,2.54,0.12,56.21000000000001,43.79
Glendale Career College,305.0,0.0,0.0,58.68,24.92,36.39,5.57,0.66,79.67,20.330000000000002
Golden Gate University,679.0,0.0,0.0,0.0,32.84,20.77,20.32,1.6199999999999999,27.839999999999996,72.16
Golden West College,8830.0,0.0,0.0,0.0,25.580000000000002,33.42,2.03,0.16999999999999998,57.330000000000005,42.67
Graduate Theological Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grossmont College,11455.0,0.0,0.0,0.0,34.71,37.6,4.2,0.31,60.440000000000005,39.56
Salon Success Academy-Riverside,116.0,0.0,0.0,0.0,8.62,71.55,9.48,0.86,76.72,23.28
Hartnell College,8635.0,0.0,0.0,0.0,15.110000000000001,65.91,2.87,0.37,51.4,48.6
Harvey Mudd College,905.0,5.0,9.99,94.39,25.86,21.099999999999998,4.53,0.44,49.72,50.28
Hilltop Beauty School,99.0,0.0,0.0,0.0,3.0300000000000002,63.63999999999999,3.0300000000000002,13.13,84.85000000000001,15.15
Holy Names University,592.0,3.0,95.30999999999999,57.98,12.839999999999998,32.43,16.89,0.33999999999999997,66.39,33.61
Pacifica Graduate Institute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California State Polytechnic University-Humboldt,5336.0,3.0,91.46,47.5,46.81,32.85,3.2800000000000002,1.37,58.379999999999995,41.620000000000005
Humphreys University-Stockton and Modesto Campuses,197.0,0.0,0.0,72.22,20.3,40.61,7.109999999999999,0.0,77.66,22.34
Imperial Valley College,6385.0,0.0,0.0,0.0,4.3999999999999995,90.68,1.25,0.11,58.01,41.99
Institute for Business and Technology,693.0,0.0,0.0,0.0,9.81,65.51,3.32,0.0,27.13,72.87
Interior Designers Institute,110.0,0.0,0.0,60.0,60.0,15.45,1.82,0.91,99.09,0.91
International School of Cosmetology,158.0,0.0,0.0,0.0,31.65,41.77,5.7,8.23,82.28,17.72
Irvine Valley College,9140.0,0.0,0.0,0.0,30.45,25.19,2.01,0.25,48.449999999999996,51.55
Bellus Academy-El Cajon,226.0,0.0,0.0,0.0,30.09,30.53,18.14,1.3299999999999998,96.89999999999999,3.1
American Jewish University,22.0,0.0,0.0,50.0,63.63999999999999,9.09,4.55,0.0,90.91,9.09
Reedley College,3852.0,0.0,0.0,0.0,16.98,73.29,2.96,0.22999999999999998,56.31,43.69
Life Pacific University,419.0,5.0,93.97,51.11,39.379999999999995,39.379999999999995,4.77,1.43,54.65,45.35
University of La Verne,3686.0,5.0,71.94,69.36,17.44,60.69,7.109999999999999,0.35000000000000003,60.34,39.660000000000004
Laguna College of Art and Design,735.0,3.0,83.3,70.37,47.21,23.27,2.31,0.54,73.61,26.39
Lake Tahoe Community College,1830.0,0.0,0.0,0.0,40.82,35.79,6.72,0.9299999999999999,37.38,62.62
Lancaster Beauty School,82.0,0.0,0.0,0.0,29.270000000000003,36.59,28.050000000000004,0.0,78.05,21.95
Laney College,5722.0,0.0,0.0,0.0,20.45,23.82,19.139999999999997,0.24,52.290000000000006,47.71
Lassen Community College,1392.0,0.0,0.0,0.0,40.300000000000004,31.11,13.79,2.01,23.419999999999998,76.58
Latin American Bible Institute,49.0,5.0,36.230000000000004,22.220000000000002,2.04,97.96000000000001,0.0,0.0,55.1,44.9
Life Chiropractic College West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincoln University,168.0,0.0,0.0,72.72999999999999,15.479999999999999,2.3800000000000003,51.790000000000006,0.0,22.02,77.98
Southern California Seminary,46.0,0.0,0.0,0.0,45.65,23.91,21.740000000000002,0.0,34.78,65.22
La Sierra University,1270.0,1.0,66.07,44.9,11.5,45.910000000000004,7.3999999999999995,0.08,58.660000000000004,41.339999999999996
Loma Linda University,980.0,0.0,0.0,0.0,24.8,38.879999999999995,4.08,0.0,73.67,26.33
Long Beach City College,19918.0,0.0,0.0,0.0,14.610000000000001,58.989999999999995,11.08,0.13,57.02,42.980000000000004
Southern California University of Health Sciences,130.0,0.0,0.0,100.0,23.849999999999998,36.919999999999995,13.08,0.0,83.08,16.919999999999998
Los Angeles Harbor College,5487.0,0.0,0.0,0.0,11.72,60.45,9.31,0.13,60.67,39.33
Los Angeles Pierce College,13016.0,0.0,0.0,0.0,27.589999999999996,49.33,4.590000000000001,0.1,56.95,43.05
Los Angeles Southwest College,3539.0,0.0,0.0,0.0,7.180000000000001,43.49,37.81,0.2,69.78999999999999,30.209999999999997
Los Angeles Trade Technical College,7867.0,0.0,0.0,0.0,8.219999999999999,67.23,13.73,0.16999999999999998,46.46,53.54
Los Angeles Valley College,11201.0,0.0,0.0,0.0,29.080000000000002,51.32,5.37,0.11,58.60999999999999,41.39
The Master's University and Seminary,1338.0,2.0,66.97999999999999,71.64,62.78,19.36,2.4699999999999998,1.2,47.760000000000005,52.239999999999995
Los Angeles City College,10494.0,0.0,0.0,0.0,22.61,49.29,8.59,0.16,57.76,42.24
Los Angeles County College of Nursing and Allied Health,180.0,0.0,0.0,0.0,20.560000000000002,42.78,3.8899999999999997,1.11,70.56,29.439999999999998
Los Angeles Mission College,6538.0,0.0,0.0,0.0,11.99,74.82,3.53,0.16999999999999998,61.59,38.41
Los Medanos College,6919.0,0.0,0.0,0.0,21.14,43.29,12.07,0.2,57.64,42.36
Loyola Marymount University,6999.0,5.0,45.82,78.77,42.43,22.830000000000002,7.16,0.04,53.580000000000005,46.42
Lu Ross Academy,272.0,0.0,0.0,0.0,13.600000000000001,79.78,0.0,0.37,80.15,19.85
Lyle's College of Beauty,93.0,0.0,0.0,0.0,33.33,62.370000000000005,1.08,0.0,97.85000000000001,2.15
Lyle's College of  Beauty,103.0,0.0,0.0,0.0,22.33,57.28,5.83,2.91,96.12,3.88
Lytles Redwood Empire Beauty College,76.0,0.0,0.0,0.0,64.47,28.95,1.32,3.95,94.74000000000001,5.26
MTI College,550.0,3.0,95.81,0.0,32.73,31.269999999999996,11.450000000000001,0.73,77.27000000000001,22.73
College of Marin,3584.0,0.0,0.0,0.0,46.37,33.31,3.38,0.27999999999999997,59.77,40.23
Marymount California University,443.0,0.0,0.0,39.45,21.22,46.73,9.030000000000001,0.0,52.14,47.86
Mendocino College,2223.0,0.0,0.0,0.0,46.42,38.24,1.3,4.77,70.67,29.330000000000002
Menlo College,743.0,3.0,69.78,54.97,20.32,31.490000000000002,5.25,0.54,45.629999999999995,54.37
Merced College,7737.0,0.0,0.0,0.0,17.68,62.760000000000005,3.3300000000000005,0.48,61.06,38.940000000000005
Merritt College,4798.0,0.0,0.0,0.0,20.03,28.49,21.7,0.25,67.22,32.78
Mills College,438.0,5.0,79.81,64.03,33.33,34.02,13.01,0.0,99.53999999999999,0.45999999999999996
MiraCosta College,10436.0,0.0,0.0,35.870000000000005,38.79,38.61,3.56,0.49,60.25,39.75
Mission College,4950.0,0.0,0.0,0.0,14.360000000000001,33.52,3.56,0.16,56.08,43.919999999999995
Modern Beauty Academy,81.0,0.0,0.0,0.0,0.0,87.64999999999999,3.6999999999999997,0.0,59.260000000000005,40.739999999999995
Modesto Junior College,12949.0,0.0,0.0,22.56,34.14,53.42,3.18,0.5599999999999999,62.36000000000001,37.64
Moler Barber College,346.0,0.0,0.0,0.0,6.65,39.31,35.55,2.31,42.199999999999996,57.8
Middlebury Institute of International Studies at Monterey,13.0,0.0,0.0,0.0,53.849999999999994,15.379999999999999,0.0,0.0,30.769999999999996,69.23
Monterey Peninsula College,5706.0,0.0,0.0,0.0,33.26,46.9,3.0,0.27999999999999997,55.19,44.81
Moorpark College,11336.0,0.0,0.0,0.0,40.050000000000004,40.47,2.13,0.21,54.300000000000004,45.7
Mt San Antonio College,22907.0,0.0,0.0,0.0,9.36,63.68000000000001,3.5700000000000003,0.16,54.11,45.89
Mount Saint Mary's University,1898.0,3.0,90.12,58.95,9.64,56.74,6.01,0.21,93.67999999999999,6.32
Mt San Jacinto Community College District,12452.0,0.0,0.0,0.0,26.810000000000002,48.5,5.38,0.44999999999999996,59.97,40.03
Musicians Institute,744.0,2.0,78.57,53.559999999999995,26.75,11.16,6.8500000000000005,0.54,27.42,72.58
Napa Valley College,3777.0,0.0,0.0,0.0,24.83,46.92,5.11,0.29,59.86,40.14
National Holistic Institute,1201.0,0.0,0.0,0.0,33.89,23.48,10.489999999999998,1.58,75.85,24.15
National University,7160.0,3.0,54.55,46.67,32.72,30.680000000000003,10.41,0.61,51.790000000000006,48.209999999999994
Naval Postgraduate School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newschool of Architecture and Design,301.0,3.0,60.85,53.7,39.2,0.0,7.64,2.9899999999999998,41.199999999999996,58.8
North Adrian's College of Beauty Inc,221.0,0.0,0.0,0.0,35.29,46.150000000000006,10.86,0.0,93.67,6.329999999999999
North-West College-Pomona,190.0,0.0,0.0,0.0,8.95,38.42,6.84,2.63,90.53,9.47
