School Name,Student Count,"Standardized Test required? (1:Required, 2:Recommended, 3:Neither required nor recommended , 4:Do not know, 5: Considered but not required)",Admission Rate,4Yr Uni Completion Rates,% White Students,% Hispanic Students,% Black Students,% AIAN Students,% Female Students,% Male Students
Florida Gateway College,2065.0,0.0,0.0,64.31,69.64,7.7,19.470000000000002,0.19,68.33,31.669999999999998
Lake Technical College,660.0,0.0,0.0,0.0,62.580000000000005,18.790000000000003,14.7,2.42,42.58,57.42
Lake-Sumter State College,3080.0,0.0,0.0,38.25,51.35999999999999,24.03,11.82,0.7799999999999999,63.05,36.95
Fort Myers Technical College,704.0,0.0,0.0,0.0,49.29,30.819999999999997,17.76,0.27999999999999997,31.53,68.47
Lively Technical College,881.0,0.0,0.0,0.0,39.61,6.02,48.809999999999995,0.22999999999999998,48.69,51.31
Lindsey Hopkins Technical College,619.0,0.0,0.0,0.0,11.15,29.89,57.03,0.65,40.550000000000004,59.45
Loraines Academy & Spa,85.0,0.0,0.0,0.0,41.18,15.290000000000001,37.65,0.0,95.28999999999999,4.71
Luther Rice College & Seminary,201.0,3.0,47.370000000000005,0.0,53.23,2.9899999999999998,37.81,0.5,32.84,67.16
State College of Florida-Manatee-Sarasota,7200.0,0.0,0.0,40.32,55.97,23.330000000000002,9.28,0.51,63.349999999999994,36.65
Manatee Technical College,1044.0,0.0,0.0,0.0,44.73,35.15,11.4,0.1,44.73,55.269999999999996
Traviss Technical College,253.0,0.0,0.0,0.0,41.11,36.36,13.83,0.0,35.57,64.42999999999999
Merryfield School of Pet Grooming,83.0,0.0,0.0,0.0,24.099999999999998,67.47,8.43,0.0,92.77,7.23
Trinity International University-Florida,80.0,0.0,0.0,0.0,41.25,41.25,13.750000000000002,0.0,60.0,40.0
Miami Lakes Educational Center and Technical College,896.0,0.0,0.0,0.0,16.41,40.63,40.510000000000005,0.33,17.75,82.25
Miami Dade College,39727.0,0.0,0.0,34.73,4.26,71.95,14.680000000000001,0.06,58.67,41.33
University of Miami,11928.0,5.0,28.49,83.50999999999999,44.28,24.26,9.13,0.1,53.47,46.53
Orange Technical College-Mid Florida Campus,944.0,0.0,0.0,0.0,44.17,31.990000000000002,18.54,0.53,8.690000000000001,91.31
Paul Mitchell the School-Jacksonville,134.0,0.0,0.0,0.0,70.15,5.970000000000001,17.16,0.0,97.76,2.2399999999999998
North Florida College,807.0,0.0,0.0,60.17,58.489999999999995,6.2,31.1,0.74,74.97,25.03
University of North Florida,13862.0,1.0,77.49000000000001,67.12,60.419999999999995,15.55,10.34,0.22,57.08,42.92
Nova Southeastern University,6578.0,5.0,92.5,60.51,25.89,36.47,14.469999999999999,0.18,72.11999999999999,27.88
Northwest Florida State College,3154.0,0.0,0.0,39.94,63.82,12.94,9.73,0.48,61.260000000000005,38.74
Orange Technical College,139.0,0.0,0.0,0.0,16.55,28.78,48.199999999999996,0.0,87.05000000000001,12.950000000000001
Palm Beach Atlantic University,2274.0,5.0,89.86,60.809999999999995,60.29,15.959999999999999,10.07,0.22,64.64,35.36
Palm Beach State College,20631.0,0.0,0.0,41.8,27.060000000000002,33.78,29.79,0.16,60.23,39.77
Pasco-Hernando State College,7018.0,0.0,0.0,37.57,59.93000000000001,13.66,7.99,0.51,60.74,39.26
Pensacola State College,6792.0,0.0,0.0,36.71,58.26,8.94,20.880000000000003,0.69,67.30000000000001,32.7
Pinellas Technical College-Clearwater,644.0,0.0,0.0,0.0,54.50000000000001,18.790000000000003,17.549999999999997,0.0,40.99,59.01
Polk State College,6946.0,0.0,0.0,33.2,44.87,28.720000000000002,17.29,0.32,66.36999999999999,33.629999999999995
Radford M Locklin Technical College,177.0,0.0,0.0,0.0,81.92,5.65,7.91,0.5599999999999999,24.29,75.71
Saint Vincent de Paul Regional Seminary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ridge Technical College,335.0,0.0,0.0,0.0,33.129999999999995,48.06,17.91,0.0,50.449999999999996,49.55
Ringling College of Art and Design,1661.0,3.0,68.73,80.46,44.25,13.43,3.01,0.3,71.76,28.24
Robert Morgan Educational Center and Technical College,435.0,0.0,0.0,0.0,10.11,60.0,26.900000000000002,0.0,47.589999999999996,52.410000000000004
Rollins College,2501.0,2.0,48.69,70.59,56.74,18.87,5.4399999999999995,0.12,59.940000000000005,40.06
First Coast Technical College,379.0,0.0,0.0,0.0,68.07,9.76,17.150000000000002,0.0,53.83,46.17
Saint Leo University,6456.0,5.0,70.66,46.25,30.59,17.77,22.919999999999998,0.51,61.029999999999994,38.97
St Petersburg College,20107.0,0.0,0.0,36.120000000000005,57.34,17.64,13.94,0.3,63.0,37.0
