School Name,SAT Average Overall,City,Carnegie Classification Undergraduate Profile,Carnegie Size Setting,Public Average Net Price,Private Average Net Price,"Avg $75,001-$110,000 (Public)","Avg $75,000+ (Public)","Avg $48,001-$75,000 (Public)","Avg $48,001-$75,000 (All)","Avg $30,001-$75,000 (Public)","Avg $30,001-$75,000 (All)","Avg $30,001-$48,000 (Public)","Avg $30,001-$48,000 (All)","Avg $110,000+ (Public)","Avg $110,000+ (All)","Avg $0-$48,000 (Public)","Avg $0-$48,000 (Private)","Avg $0-$30,000 (Public)","Avg $0-$30,000 (Private)"
Loyola Marymount University,1354.0,Los Angeles,15,14,0.0,34580.0,0.0,0.0,0.0,31532.0,0.0,27166.0,0.0,22329.0,0.0,0,0.0,26517.0,0.0,28383.0
Mills College,1395.0,Oakland,13,8,0.0,22037.0,0.0,0.0,0.0,18187.0,0.0,18857.0,0.0,19393.0,0.0,0,0.0,16475.0,0.0,14854.0
Occidental College,1422.0,Los Angeles,14,11,0.0,29663.0,0.0,0.0,0.0,14770.0,0.0,14082.0,0.0,13285.0,0.0,0,0.0,13654.0,0.0,13983.0
Otis College of Art and Design,1237.0,Los Angeles,11,10,0.0,40888.0,0.0,0.0,0.0,42578.0,0.0,40389.0,0.0,37228.0,0.0,0,0.0,36043.0,0.0,35397.0
Hope International University,1090.0,Fullerton,11,10,0.0,18248.0,0.0,0.0,0.0,18768.0,0.0,17392.0,0.0,15404.0,0.0,0,0.0,12954.0,0.0,11576.0
University of the Pacific,1265.0,Stockton,13,14,0.0,17874.0,0.0,0.0,0.0,14620.0,0.0,13980.0,0.0,13200.0,0.0,0,0.0,11465.0,0.0,10439.0
Pepperdine University,1342.0,Malibu,14,14,0.0,35167.0,0.0,0.0,0.0,27667.0,0.0,27094.0,0.0,26285.0,0.0,0,0.0,27607.0,0.0,28304.0
Point Loma Nazarene University,1256.0,San Diego,9,13,0.0,33537.0,0.0,0.0,0.0,30973.0,0.0,29933.0,0.0,28776.0,0.0,0,0.0,28106.0,0.0,27503.0
Pomona College,1520.0,Claremont,14,11,0.0,9170.0,0.0,0.0,0.0,5830.0,0.0,4693.0,0.0,3508.0,0.0,0,0.0,2872.0,0.0,2285.0
University of Redlands,1231.0,Redlands,12,14,0.0,20152.0,0.0,0.0,0.0,15260.0,0.0,14211.0,0.0,12984.0,0.0,0,0.0,13501.0,0.0,13981.0
University of San Francisco,1305.0,San Francisco,15,13,0.0,37768.0,0.0,0.0,0.0,34881.0,0.0,33002.0,0.0,30787.0,0.0,0,0.0,30434.0,0.0,30235.0
Santa Clara University,1418.0,Santa Clara,14,14,0.0,43228.0,0.0,0.0,0.0,27484.0,0.0,27588.0,0.0,27708.0,0.0,0,0.0,24933.0,0.0,23618.0
Scripps College,1456.0,Claremont,14,8,0.0,39142.0,0.0,0.0,0.0,27584.0,0.0,25914.0,0.0,20904.0,0.0,0,0.0,18766.0,0.0,17911.0
Vanguard University of Southern California,1098.0,Costa Mesa,10,11,0.0,20181.0,0.0,0.0,0.0,19233.0,0.0,17889.0,0.0,16337.0,0.0,0,0.0,15698.0,0.0,15315.0
Southern California Institute of Architecture,1295.0,Los Angeles,13,6,0.0,34522.0,0.0,0.0,0.0,0.0,0.0,41928.0,0.0,41928.0,0.0,0,0.0,34522.0,0.0,23413.0
University of Southern California,1484.0,Los Angeles,15,16,0.0,25972.0,0.0,0.0,0.0,18626.0,0.0,15736.0,0.0,12875.0,0.0,0,0.0,12572.0,0.0,12404.0
Thomas Aquinas College,1284.0,Santa Paula,14,8,0.0,26228.0,0.0,0.0,0.0,19332.0,0.0,20332.0,0.0,22666.0,0.0,0,0.0,18697.0,0.0,17507.0
Westmont College,1318.0,Santa Barbara,12,11,0.0,31438.0,0.0,0.0,0.0,26515.0,0.0,24673.0,0.0,20857.0,0.0,0,0.0,23474.0,0.0,27137.0
Whittier College,1232.0,Whittier,12,11,0.0,19774.0,0.0,0.0,0.0,15584.0,0.0,14638.0,0.0,13280.0,0.0,0,0.0,13866.0,0.0,14301.0
Adams State University,1040.0,Alamosa,7,10,14305.0,0.0,18980.0,19900.0,14112.0,0.0,13104.0,0.0,11978.0,0.0,20621.0,0,11129.0,0.0,10769.0,0.0
University of Colorado Denver/Anschutz Medical Campus,1156.0,Denver,9,15,13322.0,0.0,20018.0,21333.0,14032.0,0.0,11803.0,0.0,9701.0,0.0,22082.0,0,8911.0,0.0,8376.0,0.0
University of Colorado Boulder,1292.0,Boulder,14,16,21771.0,0.0,25611.0,28292.0,18334.0,0.0,16893.0,0.0,15194.0,0.0,29352.0,0,14416.0,0.0,13807.0,0.0
Colorado School of Mines,1399.0,Golden,14,13,25211.0,0.0,17784.0,27059.0,16812.0,0.0,16383.0,0.0,15701.0,0.0,28661.0,0,16878.0,0.0,18417.0,0.0
Colorado State University-Fort Collins,1205.0,Fort Collins,12,16,19016.0,0.0,21820.0,25494.0,15217.0,0.0,13795.0,0.0,12221.0,0.0,26972.0,0,11942.0,0.0,11713.0,0.0
University of Denver,1324.0,Denver,14,16,0.0,32618.0,0.0,0.0,0.0,25017.0,0.0,22642.0,0.0,19490.0,0.0,0,0.0,20151.0,0.0,20488.0
Fort Lewis College,1057.0,Durango,11,13,14925.0,0.0,17583.0,18557.0,14487.0,0.0,13959.0,0.0,13458.0,0.0,19687.0,0,12730.0,0.0,12069.0,0.0
Colorado Mesa University,1088.0,Grand Junction,12,13,15898.0,0.0,18618.0,19625.0,15258.0,0.0,14549.0,0.0,13761.0,0.0,20122.0,0,13023.0,0.0,12638.0,0.0
Metropolitan State University of Denver,1037.0,Denver,7,15,13806.0,0.0,16749.0,17802.0,14567.0,0.0,13488.0,0.0,12721.0,0.0,19569.0,0,13039.0,0.0,13223.0,0.0
University of Northern Colorado,1104.0,Greeley,11,13,16075.0,0.0,17247.0,19416.0,14062.0,0.0,13403.0,0.0,12561.0,0.0,20511.0,0,12744.0,0.0,12876.0,0.0
Regis University,1174.0,Denver,8,13,0.0,23916.0,0.0,0.0,0.0,21510.0,0.0,20958.0,0.0,20203.0,0.0,0,0.0,19500.0,0.0,18978.0
Colorado State University Pueblo,1046.0,Pueblo,11,13,13999.0,0.0,18168.0,18723.0,14603.0,0.0,13076.0,0.0,11947.0,0.0,19266.0,0,11271.0,0.0,10777.0,0.0
United States Air Force Academy,1382.0,USAF Academy,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Western Colorado University,1143.0,Gunnison,12,11,17437.0,0.0,18893.0,20440.0,17772.0,0.0,15896.0,0.0,13037.0,0.0,21338.0,0,12313.0,0.0,11976.0,0.0
University of Bridgeport,1040.0,Bridgeport,7,13,0.0,24416.0,0.0,0.0,0.0,24473.0,0.0,23767.0,0.0,23253.0,0.0,0,0.0,23067.0,0.0,22983.0
Central Connecticut State University,1067.0,New Britain,11,13,13434.0,0.0,14895.0,16491.0,12155.0,0.0,11590.0,0.0,10941.0,0.0,17513.0,0,10456.0,0.0,10095.0,0.0
Connecticut College,1416.0,New London,14,11,0.0,31814.0,0.0,0.0,0.0,20255.0,0.0,18837.0,0.0,16283.0,0.0,0,0.0,18628.0,0.0,19605.0
University of Connecticut,1337.0,Storrs,14,17,21724.0,0.0,26188.0,28966.0,20925.0,0.0,17801.0,0.0,15226.0,0.0,29840.0,0,14296.0,0.0,13586.0,0.0
Fairfield University,1315.0,Fairfield,14,14,0.0,43569.0,0.0,0.0,0.0,30683.0,0.0,29585.0,0.0,27835.0,0.0,0,0.0,29888.0,0.0,31018.0
University of Hartford,1185.0,West Hartford,12,14,0.0,29932.0,0.0,0.0,0.0,27772.0,0.0,26658.0,0.0,25287.0,0.0,0,0.0,25494.0,0.0,25636.0
University of New Haven,1200.0,West Haven,12,14,0.0,33109.0,0.0,0.0,0.0,30871.0,0.0,29632.0,0.0,27983.0,0.0,0,0.0,27615.0,0.0,27400.0
University of Saint Joseph,1109.0,West Hartford,11,10,0.0,25776.0,0.0,0.0,0.0,28082.0,0.0,26265.0,0.0,23358.0,0.0,0,0.0,21832.0,0.0,21094.0
Trinity College,1409.0,Hartford,14,11,0.0,32036.0,0.0,0.0,0.0,14246.0,0.0,12975.0,0.0,10965.0,0.0,0,0.0,9667.0,0.0,8252.0
United States Coast Guard Academy,1292.0,New London,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Wesleyan University,1426.0,Middletown,14,11,0.0,26080.0,0.0,0.0,0.0,10298.0,0.0,7862.0,0.0,4800.0,0.0,0,0.0,4613.0,0.0,4449.0
Yale University,1526.0,New Haven,14,17,0.0,16341.0,0.0,0.0,0.0,3957.0,0.0,4560.0,0.0,5177.0,0.0,0,0.0,4089.0,0.0,1717.0
University of Delaware,1260.0,Newark,14,16,18313.0,0.0,20537.0,22372.0,16896.0,0.0,15728.0,0.0,14319.0,0.0,23192.0,0,13829.0,0.0,13485.0,0.0
American University,1381.0,Washington,14,17,0.0,28037.0,0.0,0.0,0.0,15197.0,0.0,13750.0,0.0,11743.0,0.0,0,0.0,11136.0,0.0,10818.0
Gallaudet University,941.0,Washington,11,11,0.0,22616.0,0.0,0.0,0.0,19800.0,0.0,21837.0,0.0,22128.0,0.0,0,0.0,22001.0,0.0,21956.0
George Washington University,1419.0,Washington,15,17,0.0,26272.0,0.0,0.0,0.0,18853.0,0.0,15898.0,0.0,12510.0,0.0,0,0.0,12871.0,0.0,13139.0
Georgetown University,1488.0,Washington,14,17,0.0,24570.0,0.0,0.0,0.0,10579.0,0.0,7393.0,0.0,3182.0,0.0,0,0.0,1900.0,0.0,596.0
Howard University,1181.0,Washington,12,17,0.0,45837.0,0.0,0.0,0.0,46678.0,0.0,45356.0,0.0,44107.0,0.0,0,0.0,43184.0,0.0,42609.0
The Baptist College of Florida,1015.0,Graceville,7,7,0.0,7641.0,0.0,0.0,0.0,7307.0,0.0,9849.0,0.0,11543.0,0.0,0,0.0,7688.0,0.0,6637.0
Bethune-Cookman University,910.0,Daytona Beach,10,11,0.0,11854.0,0.0,0.0,0.0,13529.0,0.0,12102.0,0.0,11311.0,0.0,0,0.0,11083.0,0.0,10985.0
Lynn University,1121.0,Boca Raton,12,11,0.0,35705.0,0.0,0.0,0.0,35206.0,0.0,34413.0,0.0,33383.0,0.0,0,0.0,33139.0,0.0,33031.0
Johnson University Florida,959.0,Kissimmee,11,8,0.0,18041.0,0.0,0.0,0.0,20825.0,0.0,19287.0,0.0,17557.0,0.0,0,0.0,16784.0,0.0,16372.0
University of Central Florida,1271.0,Orlando,9,15,9217.0,0.0,14265.0,15151.0,10032.0,0.0,8381.0,0.0,7073.0,0.0,15761.0,0,6178.0,0.0,5517.0,0.0
Embry-Riddle Aeronautical University-Daytona Beach,1240.0,Daytona Beach,12,13,0.0,35156.0,0.0,0.0,0.0,34633.0,0.0,32581.0,0.0,30358.0,0.0,0,0.0,30766.0,0.0,31074.0
Florida Agricultural and Mechanical University,1068.0,Tallahassee,13,13,12479.0,0.0,17233.0,17759.0,14672.0,0.0,12381.0,0.0,10385.0,0.0,18198.0,0,9170.0,0.0,8409.0,0.0
Florida Atlantic University,1119.0,Boca Raton,9,15,7990.0,0.0,14049.0,14483.0,10001.0,0.0,7973.0,0.0,6413.0,0.0,14828.0,0,4769.0,0.0,3877.0,0.0
Flagler College,1102.0,Saint Augustine,13,10,0.0,23575.0,0.0,0.0,0.0,21691.0,0.0,20726.0,0.0,19246.0,0.0,0,0.0,18285.0,0.0,17805.0
Florida College,1091.0,Temple Terrace,10,8,0.0,20918.0,0.0,0.0,0.0,20929.0,0.0,19888.0,0.0,18563.0,0.0,0,0.0,15698.0,0.0,14265.0
Florida Institute of Technology,1254.0,Melbourne,13,14,0.0,31172.0,0.0,0.0,0.0,32008.0,0.0,29262.0,0.0,26382.0,0.0,0,0.0,26795.0,0.0,27009.0
Florida International University,1155.0,Miami,9,15,6232.0,0.0,11901.0,12446.0,8283.0,0.0,5842.0,0.0,4163.0,0.0,12755.0,0,3217.0,0.0,2688.0,0.0
Florida Southern College,1268.0,Lakeland,12,14,0.0,25434.0,0.0,0.0,0.0,23062.0,0.0,21517.0,0.0,19559.0,0.0,0,0.0,20224.0,0.0,20795.0
Florida State University,1280.0,Tallahassee,15,15,9561.0,0.0,14901.0,16006.0,10733.0,0.0,8606.0,0.0,6953.0,0.0,16511.0,0,6049.0,0.0,5438.0,0.0
University of Florida,1396.0,Gainesville,15,16,3679.0,0.0,11831.0,13057.0,5590.0,0.0,3069.0,0.0,1385.0,0.0,13836.0,0,397.0,0.0,-208.0,0.0
Jacksonville University,1135.0,Jacksonville,11,14,0.0,24748.0,0.0,0.0,0.0,24240.0,0.0,21579.0,0.0,18884.0,0.0,0,0.0,20462.0,0.0,21645.0
University of Miami,1402.0,Coral Gables,15,16,0.0,30742.0,0.0,0.0,0.0,19088.0,0.0,17500.0,0.0,14160.0,0.0,0,0.0,16314.0,0.0,19275.0
University of North Florida,1113.0,Jacksonville,9,15,7159.0,0.0,12567.0,12771.0,7772.0,0.0,6181.0,0.0,4827.0,0.0,12913.0,0,4211.0,0.0,3829.0,0.0
Nova Southeastern University,1187.0,Fort Lauderdale,12,16,0.0,25737.0,0.0,0.0,0.0,26703.0,0.0,25545.0,0.0,24317.0,0.0,0,0.0,22630.0,0.0,21875.0
Palm Beach Atlantic University,1139.0,West Palm Beach,13,11,0.0,27597.0,0.0,0.0,0.0,26586.0,0.0,24869.0,0.0,23374.0,0.0,0,0.0,25165.0,0.0,26240.0
Saint Leo University,1063.0,Saint Leo,9,12,0.0,17321.0,0.0,0.0,0.0,17624.0,0.0,17105.0,0.0,16646.0,0.0,0,0.0,15291.0,0.0,14671.0
University of South Florida,1245.0,Tampa,9,15,8318.0,0.0,13978.0,14941.0,9050.0,0.0,7445.0,0.0,6209.0,0.0,15614.0,0,5127.0,0.0,4454.0,0.0
St. Thomas University,971.0,Miami Gardens,11,13,0.0,27150.0,0.0,0.0,0.0,27187.0,0.0,26695.0,0.0,26319.0,0.0,0,0.0,26264.0,0.0,26243.0
