School Name,SAT Average Overall,"% IndepStudents, LowIncome $0-$30,000",% Independent Students,"% DepStudents, LowIncome $0-$30,000","% aided students family income $0-$30,000",% First Generation Students,"% First Gen, Parents w/College","% First Gen, Parents w/MiddleSchool","% First Gen, Parents w/HighSchool","% FirstGenStudents, Completed 2 Years","% FirstGenStudents, Completed 3 Years","% FirstGenStudents, Completed 4 Years","% FirstGenStudents, Completed 6 Years","% FirstGenStudents, Completed 8 Years",% Students W/Bachelors Degree at 25 Years Old,% Students Born Within the U.S.,% Population of White Students by ZIP Code,% Population of Hispanic Students by ZIP Code,% Population of Black Students by ZIP Code,% Population of Asian Students by ZIP Code,% Students W/Professional Deg at 25YrsbyZIP,% IndepStudents Completed 2 Years,% IndepStudents Completed 3 Years,% IndepStudents Completed 4 Years,% IndepStudents Completed 6 Years,% IndepStudents Completed 8 Years,% IndepStudents Withdrawn 2 Years,% IndepStudents Withdrawn 3 Years,% IndepStudents Withdrawn 4 Years,% IndepStudents Withdrawn 6 Years,% IndepStudents Withdrawn 8 Years,% DepStudents Completed 2 Years,% DepStudents Completed 3 Years,% DepStudents Completed 4 Years,% DepStudents Completed 6 Years,% DepStudents Completed 8 Years,% DepStudents Withdrawn 2 Years,% DepStudents Withdrawn 3 Years,% DepStudents Withdrawn 4 Years,% DepStudents Withdrawn 6 Years,% DepStudents Withdrawn 8 Years,% NonFirstGenStudents Completed 2 Years,% NonFirstGenStudents Completed 3 Years,% NonFirstGenStudents Completed 4 Years,% NonFirstGenStudents Completed 6 Years,% NonFirstGenStudents Completed 8 Years,% NonFirstGenStudents Withdrawn 2 Years,% NonFirstGenStudents Withdrawn 3 Years,% NonFirstGenStudents Withdrawn 4 Years,% NonFirstGenStudents Withdrawn 6 Years,% NonFirstGenStudents Withdrawn 8 Years,% FirstGenStudents Completed 2 Years,% FirstGenStudents Completed 3 Years,% FirstGenStudents Completed 4 Years,% FirstGenStudents Completed 6 Years,% FirstGenStudents Completed 8 Years,% FirstGenStudents Withdrawn 2 Years,% FirstGenStudents Withdrawn 3 Years,% FirstGenStudents Withdrawn 4 Years,% FirstGenStudents Withdrawn 6 Years,% FirstGenStudents Withdrawn 8 Years,id,Latitude,Longitutde
LeTourneau University,1250.0,48.58,51.78,20.0,34.8,34.06,65.94,3.09,30.97,0.0,0.0,0.0,7.59,9.43,1706.0,8860.0,7212.0,1617.0,1482.0,320.0,780.0,16.84,27.31,35.32,36.88,42.23,26.32,28.15,28.51,28.72,26.39,10.44,44.79,60.24,57.14,45.66,15.49,14.29,9.06,11.51,10.57,8.77,45.06,60.44,56.97,52.2,11.11,16.67,10.99,14.55,9.89,15.19,32.24,41.04,41.73,40.09,24.37,22.99,22.8,23.31,23.58,22623100,3246.63,-9472.64
Lubbock Christian University,1107.0,52.31,33.98,19.78,30.83,35.99,64.01,4.45,31.54,0.0,0.0,6.45,9.32,12.82,1505.0,9365.0,7885.0,2567.0,532.0,136.0,729.0,44.74,57.25,62.42,69.18,62.22,15.79,12.32,11.41,10.27,11.67,11.69,33.66,47.28,53.56,44.44,22.4,21.04,18.37,14.23,14.81,17.93,44.37,54.14,62.69,60.28,14.48,13.91,12.03,14.18,7.8,22.02,39.19,51.61,57.35,46.92,23.83,20.61,17.74,12.19,15.9,22638300,3357.6,-10193.44
University of Mary Hardin-Baylor,1084.0,58.33,22.08,24.87,32.26,32.44,67.56,2.3,30.14,0.0,0.0,9.21,14.26,15.31,1593.0,9030.0,7518.0,1714.0,1158.0,231.0,746.0,28.95,45.15,56.94,50.45,45.24,17.89,16.5,12.04,12.95,10.95,8.91,33.09,48.53,52.64,46.39,13.37,13.7,13.0,9.82,9.34,14.24,40.94,56.4,59.93,54.21,11.08,9.06,11.76,6.74,8.06,12.24,33.33,47.85,48.56,42.43,15.86,17.0,13.22,12.34,10.48,22647100,3106.68,-9746.35
McMurry University,1147.0,68.49,20.74,30.29,38.21,37.42,62.58,3.34,34.08,0.0,0.0,11.82,13.82,11.15,1408.0,9176.0,7860.0,2236.0,746.0,167.0,657.0,24.73,35.44,45.71,54.93,43.82,16.13,18.99,20.0,16.9,22.47,7.33,22.34,31.23,33.46,36.15,19.78,17.95,18.27,18.9,17.2,15.38,29.89,46.67,37.97,39.45,13.19,14.94,16.0,18.99,13.76,10.55,23.77,30.74,38.21,37.15,20.73,19.25,19.26,18.29,19.81,22658700,3242.98,-9974.87
University of North Texas,1127.0,70.97,21.51,28.93,37.98,34.8,65.2,4.46,30.34,0.95,2.15,4.03,8.65,8.91,2041.0,8813.0,7527.0,1707.0,1107.0,352.0,894.0,33.14,50.85,57.35,53.11,54.65,16.41,17.73,18.03,17.79,16.49,16.47,40.12,54.05,57.95,57.99,16.84,15.59,16.12,15.6,14.27,18.51,43.94,58.1,61.28,62.29,14.09,13.82,14.34,13.46,12.27,20.86,41.91,53.41,54.92,55.01,17.95,17.04,17.49,17.21,15.91,22721600,3321.12,-9714.84
Our Lady of the Lake University,989.0,70.75,29.91,43.0,51.3,47.59,52.41,8.25,39.34,0.0,0.0,0.0,13.78,12.67,1190.0,8461.0,6761.0,5654.0,771.0,181.0,602.0,52.03,49.21,56.25,48.12,56.98,12.2,15.87,13.39,12.78,14.53,12.4,32.95,35.62,47.41,43.66,22.96,17.05,18.9,14.32,11.97,23.91,27.54,44.44,57.95,50.59,0.0,15.94,19.44,0.0,0.0,21.71,40.63,39.75,45.56,48.25,0.0,16.83,17.28,0.0,0.0,22733100,2942.62,-9854.36
Prairie View A & M University,966.0,76.34,12.57,46.44,50.2,33.49,66.51,2.65,30.84,0.0,1.43,3.84,7.45,6.9,1414.0,8556.0,4908.0,2172.0,3424.0,372.0,657.0,17.52,31.74,44.44,48.34,48.75,23.36,26.28,17.92,17.22,14.34,4.66,15.82,30.81,36.11,35.95,22.29,23.75,24.19,23.9,20.07,6.53,17.97,36.67,44.39,43.88,15.92,21.13,20.84,18.54,14.35,5.92,17.74,31.34,36.16,35.84,24.6,25.07,24.15,24.11,20.75,22752600,3009.24,-9598.95
Rice University,1534.0,0.0,1.9,0.0,18.8,14.48,85.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2340.0,8533.0,7476.0,1707.0,1072.0,542.0,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,82.18,93.81,90.18,91.98,0.0,0.0,0.0,0.0,0.0,8.28,70.29,84.33,90.37,79.43,0.0,0.0,0.0,0.0,0.0,22775700,2971.79,-9540.2
Sam Houston State University,1041.0,63.58,20.28,34.02,40.02,41.41,58.59,5.47,35.94,0.0,2.48,4.11,6.65,9.04,1621.0,8878.0,7316.0,1898.0,1373.0,279.0,750.0,35.58,50.64,58.98,61.2,55.91,14.9,13.48,15.25,13.49,18.44,16.09,37.58,54.28,59.68,55.34,14.45,14.48,13.7,13.73,14.13,18.17,39.36,58.26,65.02,58.71,12.58,13.42,13.54,11.22,14.38,20.8,40.68,54.31,58.65,54.59,15.16,14.51,14.16,14.35,15.38,22788100,3071.47,-9554.62
Schreiner University,1073.0,43.98,24.52,27.01,31.17,37.3,62.7,3.22,34.08,0.0,0.0,8.23,14.57,15.19,1630.0,9154.0,8447.0,2430.0,354.0,123.0,850.0,42.0,53.76,59.42,58.33,70.89,23.0,25.81,0.0,0.0,0.0,9.71,41.31,40.22,46.67,46.77,14.56,13.51,0.0,0.0,0.0,16.04,40.66,45.36,48.51,58.89,10.38,13.19,12.37,9.9,0.0,18.15,45.98,43.62,48.18,50.21,18.81,18.01,12.76,17.0,0.0,22804200,3003.15,-9913.06
