School Name,SAT Average Overall,"% IndepStudents, LowIncome $0-$30,000",% Independent Students,"% DepStudents, LowIncome $0-$30,000","% aided students family income $0-$30,000",% First Generation Students,"% First Gen, Parents w/College","% First Gen, Parents w/MiddleSchool","% First Gen, Parents w/HighSchool","% FirstGenStudents, Completed 2 Years","% FirstGenStudents, Completed 3 Years","% FirstGenStudents, Completed 4 Years","% FirstGenStudents, Completed 6 Years","% FirstGenStudents, Completed 8 Years",% Students W/Bachelors Degree at 25 Years Old,% Students Born Within the U.S.,% Population of White Students by ZIP Code,% Population of Hispanic Students by ZIP Code,% Population of Black Students by ZIP Code,% Population of Asian Students by ZIP Code,% Students W/Professional Deg at 25YrsbyZIP,% IndepStudents Completed 2 Years,% IndepStudents Completed 3 Years,% IndepStudents Completed 4 Years,% IndepStudents Completed 6 Years,% IndepStudents Completed 8 Years,% IndepStudents Withdrawn 2 Years,% IndepStudents Withdrawn 3 Years,% IndepStudents Withdrawn 4 Years,% IndepStudents Withdrawn 6 Years,% IndepStudents Withdrawn 8 Years,% DepStudents Completed 2 Years,% DepStudents Completed 3 Years,% DepStudents Completed 4 Years,% DepStudents Completed 6 Years,% DepStudents Completed 8 Years,% DepStudents Withdrawn 2 Years,% DepStudents Withdrawn 3 Years,% DepStudents Withdrawn 4 Years,% DepStudents Withdrawn 6 Years,% DepStudents Withdrawn 8 Years,% NonFirstGenStudents Completed 2 Years,% NonFirstGenStudents Completed 3 Years,% NonFirstGenStudents Completed 4 Years,% NonFirstGenStudents Completed 6 Years,% NonFirstGenStudents Completed 8 Years,% NonFirstGenStudents Withdrawn 2 Years,% NonFirstGenStudents Withdrawn 3 Years,% NonFirstGenStudents Withdrawn 4 Years,% NonFirstGenStudents Withdrawn 6 Years,% NonFirstGenStudents Withdrawn 8 Years,% FirstGenStudents Completed 2 Years,% FirstGenStudents Completed 3 Years,% FirstGenStudents Completed 4 Years,% FirstGenStudents Completed 6 Years,% FirstGenStudents Completed 8 Years,% FirstGenStudents Withdrawn 2 Years,% FirstGenStudents Withdrawn 3 Years,% FirstGenStudents Withdrawn 4 Years,% FirstGenStudents Withdrawn 6 Years,% FirstGenStudents Withdrawn 8 Years,id,Latitude,Longitutde
Alabama A & M University,954.0,90.16,9.89,56.91,60.2,36.58,63.42,1.64,34.94,0.0,0.0,2.7,4.98,8.75,1300.0,9474.0,4684.0,379.0,4798.0,148.0,686.0,12.82,21.76,22.37,35.1,24.61,35.9,27.06,38.16,30.46,28.8,3.52,12.75,22.22,29.6,29.63,32.61,29.85,34.49,32.56,27.13,5.23,15.87,28.42,34.3,29.56,20.92,22.16,33.81,28.02,28.57,4.25,13.12,20.87,29.46,28.54,35.83,31.39,35.08,33.17,27.16,10065400,3478.34,-8656.85
University of Alabama at Birmingham,1266.0,59.42,32.14,34.87,42.76,34.12,65.88,2.23,31.9,3.25,4.3,6.74,8.61,9.74,1593.0,9650.0,6902.0,203.0,2776.0,110.0,855.0,22.14,28.9,39.53,47.54,53.89,22.35,25.32,22.52,21.25,18.6,12.06,34.74,48.31,56.72,54.58,19.22,20.27,20.16,15.78,14.91,14.79,39.06,51.46,60.56,60.69,16.91,16.85,18.9,14.23,14.45,15.16,30.3,42.75,51.47,51.95,21.49,23.98,21.83,18.63,16.68,10066300,3350.57,-8679.93
University of Alabama in Huntsville,1300.0,68.89,25.16,26.9,37.46,31.01,68.99,1.98,29.03,0.0,3.05,7.16,11.05,14.16,1767.0,9527.0,7638.0,255.0,1898.0,142.0,891.0,22.31,37.32,39.66,47.19,47.5,24.41,19.94,25.0,20.29,18.25,6.9,25.84,35.94,48.57,50.33,19.83,23.41,28.33,19.0,14.36,9.41,28.6,40.57,53.87,54.85,16.03,20.4,26.54,19.77,15.24,11.48,28.73,34.96,45.39,46.87,23.89,23.72,27.92,19.34,15.91,10070600,3472.46,-8664.04
Alabama State University,955.0,92.19,10.74,57.76,61.46,34.34,65.66,1.88,32.46,0.0,0.0,3.37,6.65,6.5,1181.0,9453.0,4269.0,409.0,5232.0,141.0,676.0,12.12,17.19,21.77,27.92,22.78,30.3,43.75,38.1,36.67,32.74,3.71,13.25,25.0,32.92,28.91,32.94,36.45,31.34,27.73,25.58,6.2,20.8,28.63,41.14,32.79,26.86,30.4,27.8,20.42,23.48,3.98,11.91,23.66,30.16,26.89,34.32,38.82,33.17,30.93,27.49,10072400,3236.43,-8629.57
The University of Alabama,1244.0,60.78,14.3,20.38,26.15,22.57,77.43,0.82,21.76,0.0,3.64,7.59,9.69,12.28,1648.0,9608.0,7535.0,241.0,2106.0,120.0,921.0,30.04,42.62,52.54,50.47,40.86,19.16,20.41,19.39,21.21,23.25,8.09,43.61,58.51,64.13,62.08,9.69,11.03,11.86,10.42,9.66,9.08,46.93,64.44,68.52,67.35,8.44,9.83,9.95,8.95,6.95,12.81,40.78,52.36,57.32,53.28,13.18,14.35,15.25,14.38,14.89,10075100,3321.19,-8754.6
Auburn University at Montgomery,1069.0,69.61,22.72,42.84,48.92,38.19,61.81,2.3,35.89,0.0,0.0,7.47,9.26,16.46,1472.0,9685.0,5997.0,162.0,3721.0,91.0,909.0,20.85,35.65,36.3,29.59,31.69,24.43,22.61,27.78,26.63,21.35,6.48,18.08,25.27,31.79,32.27,30.26,23.74,21.59,21.53,17.0,14.01,27.27,29.26,30.18,34.83,23.74,20.16,17.03,16.36,14.98,9.15,20.25,27.6,31.47,31.31,30.14,24.56,24.66,24.84,19.49,10083000,3236.74,-8617.75
Birmingham-Southern College,1214.0,0.0,3.17,0.0,23.53,17.25,82.75,0.0,0.0,0.0,0.0,8.59,13.22,19.39,2091.0,9569.0,7890.0,246.0,1741.0,139.0,1167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.73,71.13,72.64,49.44,9.35,11.82,0.0,0.0,0.0,0.0,44.79,60.94,57.02,59.18,17.92,18.75,0.0,0.0,0.0,10093700,3351.38,-8685.06
Faulkner University,1042.0,67.96,61.16,40.82,57.42,43.0,57.0,3.13,39.87,0.0,0.0,4.22,7.67,10.01,1455.0,9659.0,6488.0,181.0,3189.0,105.0,785.0,30.08,41.56,42.32,34.66,36.71,33.65,30.93,27.36,34.03,25.17,9.14,21.45,25.56,30.11,23.57,28.25,29.81,25.84,23.39,26.9,19.66,33.14,39.22,40.0,32.52,27.53,21.89,19.61,24.38,23.93,22.1,33.47,34.6,30.97,30.88,32.45,32.5,28.27,30.54,26.3,10118900,3238.42,-8621.64
Huntingdon College,1111.0,60.0,22.19,34.6,40.24,34.56,65.44,2.56,32.0,0.0,0.0,0.0,5.82,12.5,1373.0,9666.0,7320.0,191.0,2367.0,93.0,764.0,39.68,57.75,69.12,71.88,60.82,0.0,15.49,0.0,12.5,17.53,9.97,39.02,46.97,52.16,37.37,0.0,17.77,0.0,11.51,18.86,11.76,41.67,67.03,59.6,43.88,9.8,14.29,0.0,0.0,12.24,16.67,43.07,45.64,56.36,43.21,17.46,18.25,0.0,0.0,20.71,10143500,3235.1,-8628.44
Jacksonville State University,1030.0,60.47,24.56,36.33,42.26,36.38,63.62,2.98,33.39,0.0,0.0,4.02,6.51,7.18,994.0,9669.0,7696.0,266.0,1970.0,67.0,587.0,33.51,46.21,53.49,51.87,43.97,24.52,20.63,21.51,22.2,25.0,10.56,26.4,42.88,44.78,42.97,20.32,21.17,20.87,20.65,18.57,11.23,32.83,48.19,49.27,43.46,19.32,16.92,16.99,18.66,20.94,17.12,30.33,44.67,45.93,43.21,21.86,22.32,22.29,21.69,20.28,10148000,3382.29,-8576.53
University of West Alabama,1017.0,77.87,21.81,48.07,54.57,40.32,59.68,2.08,38.24,1.82,0.0,7.73,11.69,12.81,905.0,9802.0,5549.0,171.0,4248.0,40.0,519.0,8.02,10.6,16.07,21.67,22.06,42.45,39.07,37.5,30.0,23.13,2.72,6.41,14.14,22.94,33.04,31.16,35.04,36.8,30.98,21.06,0.0,8.46,22.83,30.6,26.72,31.87,27.69,30.71,26.12,24.43,0.0,7.16,12.23,20.56,29.28,34.93,38.24,38.63,32.06,21.3,10158700,3258.81,-8818.63
Marion Military Institute,1146.0,0.0,17.55,0.0,41.22,23.38,76.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408.0,9275.0,7227.0,743.0,2142.0,162.0,750.0,0.0,0.0,0.0,0.0,0.0,66.67,48.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.34,27.63,0.0,0.0,0.0,0.0,30.88,35.82,27.27,31.17,40.0,32.35,25.37,29.55,16.88,0.0,27.48,36.94,34.18,31.37,36.92,32.82,27.03,22.78,10.46,10164800,3262.37,-8732.2
University of Montevallo,1131.0,83.56,14.38,29.34,37.14,32.52,67.48,2.11,30.41,0.0,0.0,7.18,7.17,11.96,1584.0,9709.0,7780.0,208.0,1930.0,76.0,792.0,0.0,26.25,39.53,46.43,40.77,40.0,37.5,37.21,27.68,30.0,0.0,11.74,39.05,56.05,47.07,24.08,42.61,24.79,17.34,18.2,5.56,9.8,42.11,63.58,48.65,20.0,49.67,21.71,11.73,18.24,6.05,15.5,38.04,50.9,44.78,28.95,38.76,28.47,21.97,21.52,10170900,3310.63,-8686.51
Samford University,1236.0,50.91,12.85,17.56,21.85,13.81,86.19,0.0,0.0,0.0,6.37,13.33,19.1,17.65,2056.0,9464.0,8091.0,325.0,1470.0,169.0,1094.0,42.86,75.0,69.64,65.75,49.12,0.0,0.0,0.0,0.0,17.54,12.39,64.27,71.36,69.87,69.14,0.0,0.0,0.0,0.0,3.56,13.99,69.61,75.28,75.68,71.5,4.1,4.24,4.49,4.63,0.0,17.5,59.8,65.0,60.8,60.43,7.0,6.86,6.11,6.53,0.0,10204900,3346.41,-8679.18
University of South Alabama,1132.0,71.05,20.06,35.37,42.53,33.43,66.57,1.62,31.81,0.0,3.22,5.06,6.6,9.32,1357.0,9650.0,7143.0,170.0,2468.0,146.0,728.0,24.94,36.67,46.32,42.22,43.27,21.85,22.65,22.48,26.65,20.53,8.85,28.87,41.27,46.85,43.1,21.14,21.05,21.29,19.73,17.95,13.08,35.49,48.26,51.9,49.62,15.89,16.62,16.46,18.22,16.49,11.12,28.4,40.01,43.52,41.29,23.58,23.36,23.42,22.6,19.34,10209400,3069.6,-8817.87
Spring Hill College,1019.0,0.0,5.2,0.0,24.77,25.16,74.84,0.0,0.0,0.0,0.0,16.67,23.36,32.5,1726.0,9388.0,7266.0,475.0,2254.0,176.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.85,0.0,0.0,0.0,0.0,0.0,10.43,53.51,50.72,37.98,31.19,0.0,0.0,0.0,0.0,0.0,20.49,47.51,46.67,35.66,33.0,10223400,3069.48,-8813.82
Troy University,1082.0,61.89,44.63,38.5,48.94,38.98,61.02,2.58,36.4,1.98,3.99,7.36,8.89,11.52,1293.0,9561.0,6202.0,282.0,3400.0,107.0,737.0,16.5,21.45,21.14,23.68,23.87,29.98,34.78,36.86,35.63,30.04,5.99,19.12,33.88,30.92,39.43,25.88,26.72,26.83,30.5,19.66,10.98,22.73,36.55,33.75,36.48,21.16,26.22,25.41,29.06,22.83,9.96,19.37,25.93,25.5,28.32,29.46,31.31,32.89,34.22,26.82,10236800,3180.07,-8595.71
Tuskegee University,1080.0,0.0,5.55,0.0,41.52,23.06,76.94,0.0,0.0,0.0,0.0,0.0,7.46,10.69,1377.0,8974.0,4285.0,899.0,4716.0,285.0,781.0,0.0,0.0,35.56,38.0,37.5,0.0,0.0,24.44,0.0,17.19,0.0,0.0,46.25,49.59,49.81,0.0,0.0,13.82,0.0,12.65,4.48,33.89,49.75,54.55,56.6,13.9,13.39,12.44,12.92,8.96,3.97,24.53,43.49,46.05,46.25,15.31,16.56,15.58,15.13,14.35,10237700,3243.09,-8570.85
University of Alaska Fairbanks,1169.0,55.87,53.06,25.6,41.66,39.88,60.12,2.79,37.09,1.7,2.92,3.39,6.07,7.06,1498.0,9339.0,6935.0,468.0,468.0,249.0,889.0,11.54,17.6,23.86,27.7,25.59,43.41,44.2,39.34,37.09,35.66,6.65,15.7,22.52,25.7,27.14,48.78,44.62,43.18,43.39,31.25,11.16,26.32,32.2,36.76,33.22,36.48,30.7,30.93,28.06,27.34,8.77,13.65,20.58,24.05,24.37,48.69,48.75,44.17,43.23,35.4,10261400,6485.76,-14782.31
University of Arizona,1230.0,75.23,16.25,28.8,36.34,31.41,68.59,3.43,27.98,0.0,2.64,5.39,7.6,9.87,1822.0,8643.0,7751.0,2252.0,335.0,315.0,1143.0,24.83,38.05,50.6,58.12,56.67,19.38,19.15,16.84,11.45,12.84,8.43,37.21,49.77,57.57,58.58,12.95,13.92,13.33,11.31,8.96,10.26,42.14,55.72,63.77,63.01,10.68,11.85,11.62,8.51,9.19,12.61,34.93,46.9,54.45,55.87,16.09,16.46,15.14,12.82,9.82,10417900,3223.27,-11095.08
Embry-Riddle Aeronautical University-Prescott,1240.0,48.87,55.82,20.88,36.5,35.55,64.45,2.43,33.12,0.0,2.59,3.63,6.77,8.58,1687.0,8812.0,7879.0,1133.0,975.0,364.0,915.0,9.66,18.54,26.99,37.98,39.95,43.15,37.72,34.37,29.17,27.2,5.47,33.4,51.57,59.52,48.48,12.94,15.12,13.26,13.36,18.3,7.63,28.79,44.41,53.45,48.01,21.42,21.69,18.76,18.79,21.05,7.94,23.24,34.21,44.2,42.12,34.01,30.74,28.45,24.25,24.05,10458600,3461.68,-11244.97
Arizona Christian University,1043.0,74.55,22.27,34.11,43.12,38.26,61.74,3.13,35.12,0.0,0.0,12.5,0.0,17.76,1615.0,8759.0,8227.0,1971.0,235.0,239.0,822.0,20.37,22.03,27.45,36.11,29.27,40.74,33.9,37.25,0.0,0.0,10.82,28.38,30.21,25.0,36.51,18.04,18.92,18.23,0.0,0.0,17.74,31.75,31.34,34.55,31.67,16.13,20.63,25.37,25.45,21.67,11.29,25.69,28.98,23.93,36.45,25.27,22.48,21.02,24.79,16.82,10589900,3362.3,-11218.18
University of Arkansas at Little Rock,1119.0,63.8,46.78,43.19,52.83,39.1,60.9,3.79,35.32,2.4,3.98,5.75,7.66,9.69,1453.0,9663.0,7005.0,257.0,2607.0,102.0,763.0,17.61,27.97,30.9,31.76,34.59,26.23,26.95,29.49,27.84,25.41,8.96,20.33,27.2,31.13,29.68,31.21,35.14,33.77,32.61,26.56,11.25,25.73,30.96,35.76,32.15,28.64,27.43,31.42,27.33,26.83,13.16,23.23,28.34,30.26,32.19,29.13,32.54,31.89,31.01,25.76,10624500,3472.33,-9233.98
Lyon College,1163.0,0.0,6.89,0.0,33.06,30.0,70.0,0.0,0.0,0.0,0.0,19.58,0.0,0.0,1139.0,9682.0,8871.0,313.0,687.0,93.0,594.0,0.0,0.0,0.0,0.0,51.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.68,53.85,17.54,52.0,35.29,0.0,0.0,0.0,0.0,0.0,43.65,44.59,20.18,37.04,30.07,0.0,0.0,10634200,3577.76,-9162.54
University of Arkansas,1188.0,64.13,14.38,19.68,26.07,26.0,74.0,2.34,23.66,0.0,3.25,6.65,10.15,11.97,1520.0,9463.0,8495.0,522.0,781.0,148.0,848.0,32.99,43.18,45.41,48.19,49.18,15.46,21.07,21.94,19.1,18.87,9.23,42.99,56.38,58.28,55.21,11.98,12.67,14.03,13.64,12.93,9.81,46.59,62.23,64.11,61.79,8.77,10.02,11.65,11.27,10.53,14.04,40.5,49.41,52.12,49.92,15.28,16.65,17.75,16.5,15.86,10639700,3607.0,-9417.7
University of Arkansas at Pine Bluff,902.0,81.82,15.01,57.85,61.45,36.77,63.23,1.71,35.06,0.0,0.0,0.0,0.0,0.0,1064.0,9638.0,4292.0,394.0,5270.0,96.0,514.0,24.0,26.89,32.77,33.6,27.08,21.33,32.77,27.73,28.8,28.47,6.45,21.96,34.83,34.7,28.55,24.56,28.37,27.87,29.04,27.33,11.86,28.48,37.09,42.22,42.15,20.34,24.05,24.5,18.52,23.14,7.72,21.35,33.94,33.05,26.12,25.05,30.03,28.61,31.03,28.22,10641200,3424.4,-9201.87
Arkansas State University,1149.0,65.94,30.75,34.99,44.51,38.83,61.17,2.7,36.12,0.98,0.0,3.49,5.23,5.8,941.0,9804.0,8326.0,193.0,1395.0,49.0,517.0,34.54,39.32,36.2,36.55,32.57,17.18,20.23,19.98,19.31,13.44,11.37,29.79,41.27,44.63,41.31,20.66,23.87,23.59,20.42,16.08,12.71,35.07,49.62,53.37,50.09,15.51,20.24,17.05,16.58,9.94,19.7,31.74,37.11,39.04,35.52,21.14,23.61,23.87,21.0,16.0,10645800,3584.24,-9068.0
University of Central Arkansas,1133.0,79.26,15.87,35.04,42.05,34.6,65.4,2.43,32.17,0.0,3.1,6.23,8.05,12.29,1218.0,9721.0,7980.0,251.0,1657.0,72.0,615.0,24.44,39.21,38.59,42.48,37.18,23.06,20.53,27.04,22.2,21.25,8.88,29.92,39.24,39.2,39.21,21.63,21.36,22.33,21.79,17.81,11.62,37.45,47.21,45.82,46.17,20.85,16.91,18.2,17.68,13.98,11.45,29.52,36.25,37.74,36.51,22.25,22.74,24.79,23.24,19.9,10670400,3507.79,-9245.77
Central Baptist College,1059.0,54.78,37.12,29.32,38.77,34.55,65.45,0.0,0.0,0.0,0.0,10.62,13.27,16.89,1167.0,9706.0,8328.0,298.0,1246.0,81.0,569.0,0.0,22.39,19.54,21.43,20.0,32.84,41.79,37.93,40.82,45.0,0.0,13.01,20.9,8.44,17.34,28.76,30.14,31.34,39.61,16.76,0.0,25.93,27.87,0.0,0.0,20.0,25.93,26.23,32.14,0.0,0.0,12.58,17.5,0.0,0.0,34.19,36.48,36.88,42.35,0.0,10671300,3508.38,-9244.5
Harding University,1183.0,54.02,11.94,16.99,21.41,20.55,79.45,1.08,19.47,0.0,3.96,7.38,11.75,12.33,1609.0,9429.0,8453.0,573.0,890.0,182.0,818.0,33.85,58.89,65.14,63.57,51.82,0.0,11.11,0.0,14.29,13.87,4.9,29.79,57.73,62.5,53.23,0.0,7.9,0.0,10.0,10.57,6.89,35.8,65.03,70.3,58.3,9.28,6.47,7.89,7.68,9.54,9.54,29.84,52.06,54.85,48.77,12.98,10.02,11.5,13.61,12.6,10704400,3524.74,-9172.61
Henderson State University,1084.0,81.21,17.14,41.36,48.19,37.67,62.33,2.28,35.4,0.0,0.0,3.14,6.26,10.04,1052.0,9633.0,7879.0,430.0,1648.0,77.0,570.0,26.4,45.52,36.09,32.84,28.46,24.0,22.76,27.22,24.38,28.09,8.85,24.59,33.16,37.74,33.26,29.84,26.78,27.61,24.02,18.97,10.4,30.26,36.49,41.04,43.43,21.97,21.03,26.07,16.76,15.43,12.28,27.42,32.88,35.83,30.02,30.96,27.57,27.97,25.64,22.2,10707100,3412.82,-9305.97
Hendrix College,1286.0,0.0,2.38,0.0,23.41,19.21,80.79,0.0,0.0,0.0,0.0,8.03,12.0,20.72,1935.0,9379.0,8162.0,556.0,1177.0,201.0,1105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.25,64.12,66.46,68.91,0.0,0.0,0.0,0.0,0.0,0.0,52.21,59.85,64.8,59.46,0.0,0.0,0.0,0.0,0.0,10708000,3510.16,-9244.33
John Brown University,1231.0,42.28,31.95,21.37,28.05,28.88,71.12,2.45,26.43,0.0,0.0,4.47,6.82,10.69,1505.0,9412.0,8584.0,652.0,501.0,156.0,742.0,42.86,54.26,59.71,65.73,57.92,21.43,20.93,18.71,19.66,20.3,13.77,57.63,63.97,66.67,64.22,14.49,11.45,13.13,11.88,9.9,20.57,63.69,63.68,74.29,69.04,10.29,9.5,16.32,10.86,9.64,22.11,50.47,61.79,60.98,57.23,21.61,18.87,13.82,17.8,16.67,10714100,3618.98,-9456.03
University of the Ozarks,1061.0,0.0,8.15,0.0,39.33,34.69,65.31,3.75,30.94,0.0,0.0,0.0,0.0,0.0,1227.0,9432.0,8580.0,728.0,657.0,113.0,584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,40.43,51.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.76,40.58,37.11,0.0,0.0,0.0,0.0,0.0,0.0,10755800,3547.63,-9346.72
Williams Baptist University,1100.0,0.0,11.54,0.0,36.15,32.35,67.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.0,9818.0,9087.0,170.0,610.0,39.0,463.0,0.0,0.0,50.0,0.0,40.62,44.83,0.0,0.0,0.0,0.0,0.0,0.0,31.58,0.0,33.55,28.67,0.0,0.0,0.0,0.0,0.0,42.86,30.95,57.14,0.0,22.64,0.0,0.0,0.0,0.0,0.0,34.57,35.4,37.41,0.0,34.92,0.0,0.0,0.0,0.0,10787700,3612.57,-9094.03
Southern Arkansas University Main Campus,1094.0,81.49,17.19,41.98,48.77,42.09,57.91,1.74,40.35,0.0,0.0,0.0,5.17,5.71,1019.0,9713.0,6748.0,356.0,2875.0,62.0,461.0,27.61,34.51,42.46,44.62,43.0,30.6,29.58,25.7,24.1,21.0,23.47,37.2,38.44,41.46,34.86,26.83,27.99,28.01,22.56,19.11,31.71,46.99,49.04,50.97,42.65,20.98,19.67,22.29,18.71,9.56,21.99,34.47,37.23,40.23,35.65,29.06,30.19,28.63,23.85,21.45,10798300,3329.16,-9323.59
Azusa Pacific University,1117.0,49.26,47.11,22.62,35.17,37.98,62.02,5.11,32.87,9.58,11.01,9.57,9.33,16.95,1690.0,7937.0,6842.0,2778.0,434.0,849.0,888.0,24.28,29.84,40.4,49.22,45.37,6.29,11.63,14.45,14.3,18.67,12.84,41.79,61.5,67.1,60.29,8.2,12.26,9.42,8.72,10.05,16.94,41.32,59.56,66.85,59.97,6.19,12.15,9.63,8.08,11.44,19.34,34.09,49.25,56.11,52.69,7.61,11.89,12.46,12.48,13.82,10978500,3413.0,-11788.84
Biola University,1228.0,83.21,8.85,22.07,27.48,23.55,76.45,1.67,21.88,0.0,3.48,8.25,8.43,11.28,1805.0,7996.0,7007.0,2482.0,429.0,862.0,933.0,18.4,32.61,48.96,59.34,67.47,25.6,20.65,16.67,0.0,0.0,8.16,50.82,64.19,72.31,68.92,10.75,10.11,9.08,0.0,0.0,9.05,51.37,70.23,74.43,73.3,10.0,10.44,8.91,6.16,5.03,10.06,46.74,56.29,68.07,64.79,15.3,11.96,10.72,5.02,6.23,11009700,3390.62,-11801.44
California Lutheran University,1200.0,60.75,21.95,19.67,28.69,35.39,64.61,4.68,30.71,0.0,8.53,9.07,11.74,12.2,1946.0,8112.0,7406.0,2255.0,342.0,653.0,1060.0,48.98,55.22,59.6,61.83,62.14,10.2,12.44,12.58,16.03,17.86,15.61,62.58,71.84,66.23,68.5,7.03,7.03,5.17,8.16,8.54,18.8,62.04,71.43,66.08,70.09,7.69,7.66,7.14,9.69,7.94,26.24,60.11,68.14,65.01,65.55,7.89,8.72,6.54,9.71,11.96,11041300,3422.46,-11887.89
Chapman University,1318.0,87.5,4.35,19.76,22.71,17.88,82.12,1.19,16.69,0.0,1.87,6.36,9.9,11.22,1734.0,8058.0,6987.0,2471.0,447.0,789.0,931.0,27.85,72.13,68.52,63.49,61.11,16.46,0.0,0.0,0.0,18.06,13.56,69.8,76.92,75.2,70.7,7.58,0.0,0.0,0.0,10.64,11.95,69.78,78.15,76.51,71.94,8.56,8.81,6.78,7.47,11.05,17.21,70.09,74.58,72.16,67.91,7.75,8.22,9.11,7.22,11.22,11194800,3379.3,-11785.25
Concordia University-Irvine,1174.0,65.34,26.76,22.42,33.9,28.39,71.61,2.59,25.8,0.0,5.46,8.36,11.78,13.51,1947.0,7852.0,7008.0,2387.0,394.0,967.0,1001.0,46.03,62.09,53.69,61.83,60.14,15.87,11.11,18.79,9.92,14.19,14.52,51.24,64.29,55.63,50.78,9.68,9.9,9.62,9.43,12.24,22.56,60.77,65.79,55.72,58.15,9.74,8.61,10.0,11.94,12.5,22.44,50.29,58.51,57.81,50.86,12.21,11.21,13.62,8.22,12.93,11207500,3365.37,-11781.23
Claremont McKenna College,1487.0,0.0,0.0,0.0,25.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2319.0,7851.0,6878.0,1958.0,546.0,1167.0,1513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11226000,3410.22,-11771.12
Dominican University of California,1160.0,64.86,14.02,16.3,23.11,30.61,69.39,2.86,27.76,0.0,0.0,0.0,8.44,10.04,2068.0,7695.0,6573.0,1892.0,620.0,1289.0,1165.0,36.11,57.78,62.79,75.28,62.26,0.0,0.0,0.0,12.36,18.87,8.19,64.11,71.95,70.46,69.68,0.0,0.0,0.0,4.63,5.78,14.0,68.82,76.58,70.68,71.53,0.0,0.0,0.0,7.52,6.94,10.71,60.5,66.85,72.15,65.27,0.0,0.0,0.0,5.91,10.88,11369800,3798.13,-12251.21
Fresno Pacific University,1100.0,54.4,67.7,30.32,46.62,46.58,53.42,10.84,35.73,6.6,4.62,9.13,11.46,7.56,1131.0,8072.0,6153.0,3965.0,411.0,559.0,519.0,38.27,50.22,54.47,42.96,51.98,11.52,14.78,13.31,24.31,19.76,21.57,38.28,55.87,52.52,45.8,8.16,17.8,13.02,13.21,20.87,25.91,39.68,52.76,50.0,41.38,7.25,17.46,12.27,21.52,24.14,34.47,47.81,55.46,45.69,51.36,11.15,15.38,13.42,19.94,19.26,11481300,3672.68,-11973.52
Harvey Mudd College,1533.0,0.0,0.0,0.0,13.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2359.0,7993.0,7175.0,1553.0,430.0,1236.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11540900,3410.65,-11770.98
University of La Verne,1028.0,55.75,51.23,29.6,42.99,50.62,49.38,8.2,42.43,4.15,4.97,5.38,9.05,10.69,1357.0,7515.0,5926.0,3870.0,657.0,857.0,705.0,31.69,42.98,45.54,47.72,49.7,18.72,19.55,19.86,20.66,19.39,15.96,51.69,61.65,62.4,53.83,11.58,14.1,13.86,13.08,17.11,20.23,50.6,57.09,58.58,53.07,15.56,14.74,13.09,14.56,17.33,23.96,46.25,53.46,53.72,51.22,14.72,17.51,17.43,17.69,18.6,11714000,3410.09,-11777.33
La Sierra University,1023.0,83.44,15.76,31.72,39.87,39.62,60.38,6.48,33.13,0.0,5.28,9.8,21.23,24.53,1351.0,7595.0,5994.0,3334.0,778.0,877.0,788.0,18.97,28.24,31.03,29.17,33.01,17.24,16.47,14.94,10.42,9.71,4.66,27.7,34.3,32.65,33.14,16.1,13.98,11.98,11.63,9.83,6.75,31.69,29.48,36.13,30.81,17.79,8.45,11.56,9.42,6.57,5.99,26.09,35.68,30.37,34.2,15.53,17.08,12.81,12.33,11.32,11762700,3391.07,-11750.01
